Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,2190.00,2240.00,2140.50,2231.60,2189.082958699214318726,47602,4092,104204727.00,7558,15.88,99.50,41.60
30-June-2022,2220.00,2248.55,2180.95,2189.85,2214.150287511770952295,49911,3802,110510455.00,10321,20.68,67.60,-30.15
29-June-2022,2185.00,2247.95,2177.05,2220.80,2212.447329625410440260,59692,3941,132065406.00,14624,24.50,70.90,35.80
28-June-2022,2162.10,2210.75,2160.20,2205.00,2181.256254182733675387,31379,2208,68445640.00,4089,13.03,50.55,42.90
27-June-2022,2190.00,2210.45,2168.85,2181.40,2188.648926689398636081,51616,3771,112969303.00,11623,22.52,41.60,-8.60
24-June-2022,2111.20,2168.05,2109.10,2161.50,2133.605968769262379289,38936,2403,83074082.00,3528,9.06,58.95,50.30
23-June-2022,2109.00,2127.55,2080.00,2109.45,2108.266003216307094672,95762,3428,201891769.00,52850,55.19,47.55,0.45
22-June-2022,2155.00,2155.00,2078.05,2089.20,2099.523326549934161125,91891,4111,192927298.00,37138,40.42,76.95,-65.80
21-June-2022,2092.30,2176.85,2092.05,2160.90,2135.639903865737911931,49098,4833,104855648.00,12167,24.78,84.80,68.60
20-June-2022,2098.30,2121.30,2025.00,2083.20,2060.281104296090045837,76139,6215,156867743.00,15380,20.20,96.30,-15.10
17-June-2022,2068.00,2135.00,2060.10,2096.05,2097.916511205044040900,84694,6033,177680941.00,11603,13.70,74.90,28.05
16-June-2022,2200.00,2220.00,2076.75,2082.85,2135.580441176470588235,68000,5377,145219470.00,7513,11.05,143.25,-117.15
15-June-2022,2222.00,2222.00,2175.30,2184.30,2192.428420020248038471,63216,4508,138596555.00,13356,21.13,46.70,-37.70
14-June-2022,2100.00,2220.00,2053.00,2196.50,2160.810236038097377120,284954,17224,615731520.00,41769,14.66,167.00,96.50
13-June-2022,2175.00,2175.00,2070.70,2081.45,2124.368407325297613502,53677,4238,114029723.00,8119,15.13,104.30,-93.55
10-June-2022,2198.00,2214.00,2171.00,2201.15,2194.834285297176955783,54799,3087,120274724.00,23302,42.52,43.00,3.15
9-June-2022,2167.00,2223.80,2160.50,2218.20,2187.877962865420068475,30376,2347,66458981.00,3539,11.65,63.30,51.20
8-June-2022,2248.00,2248.00,2159.45,2176.45,2206.623157137720244516,38934,2847,85912666.00,6987,17.95,88.55,-71.55
7-June-2022,2228.00,2254.40,2208.00,2226.55,2230.032706099760937477,68183,3374,152050320.00,7178,10.53,46.40,-1.45
6-June-2022,2198.00,2230.00,2168.85,2224.10,2206.178478812992915385,37405,2773,82522106.00,5826,15.58,61.15,26.10
3-June-2022,2237.90,2241.90,2175.65,2189.25,2206.808510374421748459,80631,4946,177937177.00,17127,21.24,66.25,-48.65
2-June-2022,2148.00,2216.10,2143.00,2209.85,2189.754915260058038703,58237,3049,127524757.00,6378,10.95,73.10,61.85
1-June-2022,2169.00,2189.10,2126.00,2150.80,2160.457462795094284744,82516,5058,178272308.00,14289,17.32,63.10,-18.20
31-May-2022,2167.00,2225.95,2150.60,2167.75,2200.560970417675989136,136230,6348,299782421.00,17286,12.69,75.35,0.75
30-May-2022,2110.00,2174.30,2106.95,2165.65,2149.792315914977593224,48646,2789,104578797.00,6634,13.64,67.35,55.65
27-May-2022,2090.00,2091.40,2047.95,2080.10,2070.059312338170650930,66428,4050,137509900.00,10356,15.59,43.45,-9.90
26-May-2022,2070.00,2087.90,1906.05,2047.70,1992.386608542319749216,163328,12372,325412520.00,31423,19.24,181.85,-22.30
25-May-2022,2172.00,2178.00,2067.40,2075.10,2119.514916258135760536,59767,4025,126677048.00,14143,23.66,110.60,-96.90
24-May-2022,2170.00,2178.00,2143.50,2160.40,2162.402529761904761904,26880,1772,58125380.00,3240,12.05,34.50,-9.60
23-May-2022,2227.00,2245.35,2158.00,2168.95,2197.839926688722178214,64383,4599,141503528.00,17552,27.26,87.35,-58.05
20-May-2022,2159.00,2232.55,2150.20,2223.30,2194.044524403434802763,45301,2535,99392411.00,9518,21.01,82.35,64.30
19-May-2022,2150.00,2154.00,2075.00,2114.00,2122.727955900551243109,44445,2758,94344644.00,9633,21.67,79.00,-36.00
18-May-2022,2204.90,2216.55,2173.00,2179.40,2193.036399594652021836,61182,3131,134174353.00,18199,29.75,43.55,-25.50
17-May-2022,2135.00,2192.00,2120.00,2184.50,2148.289147665696253639,47059,3139,101096339.00,11637,24.73,72.00,49.50
16-May-2022,2099.00,2150.00,2058.10,2107.05,2106.212562431951333321,115726,5620,243743555.00,13516,11.68,91.90,8.05
13-May-2022,2084.75,2133.45,2035.85,2055.05,2095.578099049366507964,63221,3778,132484543.00,5390,8.53,97.60,-29.70
12-May-2022,2102.20,2112.00,2012.10,2042.60,2061.273246140561487752,94962,5530,195742630.00,21336,22.47,99.90,-59.60
11-May-2022,2102.00,2157.05,2076.80,2119.65,2118.064569620899025460,78396,4590,166047790.00,21122,26.94,80.25,17.65
10-May-2022,2190.00,2220.05,2097.00,2110.45,2158.083814080015008676,85284,5151,184050020.00,25952,30.43,123.05,-79.55
