Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,1934.00,1978.45,1901.75,1959.70,1942.016519704318988361,64529,5790,125316384.00,15338,23.77,76.70,25.70
30-June-2022,1924.00,1938.80,1901.35,1929.00,1923.762373461204116541,71322,6274,137206580.00,30601,42.91,37.45,5.00
29-June-2022,1878.20,1945.00,1871.05,1904.65,1919.910620719643439504,45995,3795,88306289.00,8471,18.42,73.95,26.45
28-June-2022,1915.00,1919.90,1871.15,1909.45,1891.397285673034544597,65799,5246,124452050.00,20759,31.55,48.75,-5.55
27-June-2022,1889.70,1926.00,1880.00,1917.65,1906.666153114909937226,61013,4243,116331422.00,10239,16.78,46.00,27.95
24-June-2022,1810.00,1868.05,1808.35,1856.65,1851.278831611596729127,156044,10818,288880954.00,59095,37.87,59.70,46.65
23-June-2022,1754.00,1809.00,1733.60,1797.60,1781.589066305069736550,144544,10213,257518010.00,33556,23.22,75.40,43.60
22-June-2022,1783.00,1794.00,1722.00,1736.80,1760.070865714802096511,55330,4318,97384721.00,10544,19.06,72.00,-46.20
21-June-2022,1766.00,1835.00,1721.65,1809.00,1781.609758269153719449,157241,11029,280142100.00,38530,24.50,113.35,43.00
20-June-2022,1713.80,1763.00,1676.30,1744.45,1716.201915757964507162,116925,10575,200666909.00,40681,34.79,86.70,30.65
17-June-2022,1690.00,1784.00,1651.05,1713.80,1703.413486036256736893,81640,7353,139066677.00,15178,18.59,132.95,23.80
16-June-2022,1790.00,1804.80,1679.10,1709.80,1732.838704642059508657,83282,7790,144314273.00,21272,25.54,125.70,-80.20
15-June-2022,1820.00,1821.90,1750.00,1757.65,1785.755713964392615533,57797,5072,103211323.00,17433,30.16,71.90,-62.35
14-June-2022,1785.00,1834.90,1750.90,1786.70,1808.034085167809455070,110840,9966,200402498.00,37240,33.60,84.00,1.70
13-June-2022,1735.00,1839.95,1706.00,1800.15,1784.773033849138279432,111347,8931,198729123.00,22605,20.30,133.95,65.15
10-June-2022,1798.95,1813.90,1724.10,1755.75,1768.668629747364898778,149425,15084,264283310.00,44646,29.88,89.80,-43.20
9-June-2022,1810.00,1836.00,1792.05,1813.05,1824.487799403174267832,151468,5563,276351518.00,108684,71.75,43.95,3.05
8-June-2022,1852.00,1860.00,1795.00,1801.50,1820.926698985989474827,101281,8546,184425277.00,27876,27.52,65.00,-50.50
7-June-2022,1809.95,1872.60,1776.90,1829.25,1831.989941344708904939,123774,8493,226752723.00,23050,18.62,95.70,19.30
6-June-2022,1859.00,1859.00,1790.00,1800.80,1811.229527369937971220,95762,8217,173446962.00,25630,26.76,69.00,-58.20
3-June-2022,1964.00,1989.00,1831.50,1853.70,1879.392086476466499196,271889,23701,510986035.00,66131,24.32,157.50,-110.30
2-June-2022,1835.00,1950.55,1817.05,1927.55,1910.038548946568015993,175569,15237,335343558.00,27140,15.46,133.50,92.55
1-June-2022,1825.00,1889.90,1768.25,1846.90,1835.785625103639325393,410076,37513,752811626.00,107290,26.16,121.65,21.90
31-May-2022,2141.25,2141.25,1832.00,1898.80,1940.398435111911150358,235544,19931,457049209.00,138255,58.70,309.25,-242.45
30-May-2022,2190.00,2235.00,2126.35,2148.55,2176.375903683042067512,35134,3855,76464791.00,12254,34.88,108.65,-41.45
27-May-2022,2220.05,2220.05,2139.50,2165.85,2175.563411825938835701,63403,6712,137937247.00,21202,33.44,80.55,-54.20
26-May-2022,2221.00,2226.80,2036.00,2169.85,2108.301646617182834229,58605,7686,123557018.00,15042,25.67,190.80,-51.15
25-May-2022,2173.00,2245.00,2131.80,2187.05,2181.539682685590322462,108788,11556,237325339.00,28172,25.90,113.20,14.05
24-May-2022,2288.00,2288.00,2115.00,2138.15,2186.558473407244673785,39146,5128,85595018.00,13447,34.35,173.00,-149.85
23-May-2022,2319.00,2322.05,2231.30,2247.50,2270.488354193159761729,29882,3983,67846733.00,11505,38.50,90.75,-71.50
20-May-2022,2398.95,2400.00,2254.00,2271.80,2311.977160446910389906,52628,6933,121674734.00,22190,42.16,146.00,-127.15
19-May-2022,2227.00,2345.00,2227.00,2316.75,2311.596188683013108534,70107,9283,162059074.00,28823,41.11,118.00,89.75
18-May-2022,2340.00,2436.50,2288.00,2396.45,2383.580095090061259943,131244,14637,312830586.00,46535,35.46,148.50,56.45
17-May-2022,2364.00,2372.15,2200.00,2287.15,2275.575725152989992040,76639,11442,174397848.00,28690,37.44,172.15,-76.85
16-May-2022,2250.00,2350.00,2221.10,2282.50,2282.291088491675354966,93037,15720,212337516.00,30593,32.88,128.90,32.50
13-May-2022,2444.00,2545.25,2105.25,2171.70,2313.411625696047806600,73630,12049,170336498.00,31335,42.56,440.00,-272.30
12-May-2022,2690.00,2720.00,2405.00,2435.60,2533.862680067484751041,69349,14268,175720843.00,30788,44.40,315.00,-254.40
11-May-2022,2522.00,2710.75,2490.00,2663.95,2598.495950606187903596,102361,16342,265984644.00,40529,39.59,220.75,141.95
10-May-2022,2702.00,2757.30,2461.05,2486.80,2579.474844740380306037,78095,13624,201444088.00,43714,55.98,296.25,-215.20
9-May-2022,2820.00,2845.00,2673.05,2708.00,2761.481416687493305723,28009,4739,77346333.00,16052,57.31,171.95,-112.00
6-May-2022,2789.00,2954.45,2720.10,2872.45,2834.884970593901209106,88247,14098,250170094.00,38161,43.24,234.35,83.45
5-May-2022,2735.00,2887.95,2727.25,2847.10,2802.754790739444525152,75719,10671,212221790.00,44940,59.35,160.70,112.10
4-May-2022,2811.20,2851.00,2634.20,2672.45,2818.195264710771276595,481280,6776,1356341017.00,458058,95.17,216.80,-138.75
2-May-2022,2860.05,2900.00,2804.95,2830.00,2839.934350265504458471,39924,6029,113381539.00,21845,54.72,95.05,-30.05
29-April-2022,2891.00,2998.00,2844.00,2887.30,2925.182354503796515617,90346,11450,264278525.00,44416,49.16,154.00,-3.70
28-April-2022,2899.00,2950.00,2834.75,2918.15,2892.393985584002893533,38707,4683,111955894.00,17189,44.41,115.25,19.15
27-April-2022,2957.80,2957.80,2825.00,2840.20,2873.108185279187817258,94560,11270,271681110.00,43967,46.50,132.80,-117.60
26-April-2022,2850.30,2977.95,2850.00,2954.25,2919.464179405289758457,129004,11378,376622557.00,74426,57.69,127.95,103.95
25-April-2022,2834.00,2856.90,2801.00,2825.00,2826.065146155278346676,53710,7426,151787959.00,25719,47.88,55.90,-9.00
22-April-2022,2820.00,2988.00,2810.00,2888.40,2887.687104251909703315,64277,7560,185611864.00,27035,42.06,178.00,68.40
21-April-2022,2877.95,2877.95,2750.05,2808.90,2807.821315630116401641,44587,7284,125192329.00,17516,39.28,127.90,-69.05
20-April-2022,2974.00,3012.45,2767.90,2808.25,2889.216392186901570279,57442,8003,165962368.00,21685,37.75,244.55,-165.75
19-April-2022,3037.00,3048.00,2730.00,2903.95,2975.260073960007643283,88967,10613,264699963.00,32608,36.65,318.00,-133.05
18-April-2022,2855.00,3013.20,2683.00,2968.10,2882.102438678576492272,183378,22288,528514181.00,89043,48.56,330.20,113.10
13-April-2022,2882.00,2950.00,2779.90,2864.75,2857.757190380483748007,86574,10716,247407471.00,33503,38.70,170.10,-17.25
12-April-2022,2849.00,2951.90,2718.45,2789.40,2834.044773426703262634,570919,50037,1618010008.00,123571,21.64,233.45,-59.60
11-April-2022,2397.00,2788.70,2397.00,2701.55,2583.019283310954081923,385774,32250,996461681.00,103309,26.78,391.70,304.55
