Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,264.00,264.95,255.20,263.40,260.930461280245211041,390847,8987,101983888.00,97491,24.94,9.75,-0.60
30-June-2022,272.70,276.00,261.00,262.55,268.989426600419910540,383415,7502,103134581.00,154234,40.23,15.00,-10.15
29-June-2022,267.50,274.45,267.50,269.95,271.845678552540428606,268498,5586,72990021.00,93922,34.98,6.95,2.45
28-June-2022,270.00,274.85,268.05,270.05,271.473758539941578350,414230,9533,112452575.00,146518,35.37,6.80,0.05
27-June-2022,270.65,277.85,268.25,272.70,273.437845003567681619,1370638,21461,374784301.00,547316,39.93,9.60,2.05
24-June-2022,256.70,265.10,255.90,264.65,261.148474007434770955,686504,10780,179279472.00,284962,41.51,9.20,7.95
23-June-2022,249.00,258.40,247.40,252.50,253.533681100401290783,1094219,20599,277421371.00,534746,48.87,11.00,3.50
22-June-2022,252.90,252.90,245.50,247.40,249.228759928992381243,542477,10072,135200870.00,178704,32.94,7.40,-5.50
21-June-2022,248.05,258.65,238.25,254.00,247.598921975631602143,2250784,45989,557291692.00,693772,30.82,20.40,5.95
20-June-2022,265.30,267.05,248.75,248.75,254.795465173751045547,1052080,26368,268065213.00,541191,51.44,18.30,-16.55
17-June-2022,257.80,268.00,249.50,261.80,258.122304530323910459,1012996,21190,261476862.00,237190,23.41,18.50,4.00
16-June-2022,278.90,282.40,258.45,259.25,267.418364608184988071,871840,17151,233146027.00,351790,40.35,23.95,-19.65
15-June-2022,272.00,275.50,270.05,271.95,272.820261736780110913,907553,16126,247598847.00,413268,45.54,5.45,-0.05
14-June-2022,261.50,279.40,261.50,266.80,272.760810378938469944,1067007,20070,291037694.00,335974,31.49,17.90,5.30
13-June-2022,268.80,275.50,266.00,266.10,270.022295100102095610,867814,16754,234329128.00,422778,48.72,9.50,-2.70
