Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,2500.00,2580.00,2226.40,2402.70,2484.608648403159619158,61653,8748,153183577.00,13244,21.48,353.60,-97.30
30-June-2022,2350.00,2499.00,2350.00,2473.75,2463.246118741890743143,67053,9447,165168042.00,17770,26.50,149.00,123.75
29-June-2022,2148.00,2364.00,2133.00,2348.60,2279.656419968919968919,41184,5931,93885370.00,9000,21.85,231.00,200.60
28-June-2022,2160.00,2175.00,2115.70,2162.30,2149.979314235566977997,15953,2553,34298620.00,5342,33.49,59.30,2.30
27-June-2022,2184.00,2184.00,2122.05,2142.05,2149.214170574443141852,13648,2207,29332475.00,4546,33.31,61.95,-41.95
24-June-2022,2118.00,2167.00,2098.35,2152.90,2129.006293587344786528,5879,850,12516428.00,2653,45.13,68.65,34.90
23-June-2022,2158.00,2169.05,2066.30,2098.35,2108.878187278187278187,18315,2246,38624104.00,3260,17.80,102.75,-59.65
22-June-2022,2175.60,2219.90,2083.40,2121.65,2140.302787431732747003,14099,2587,30176129.00,2090,14.82,136.50,-53.95
21-June-2022,2088.00,2260.00,2063.20,2206.50,2164.276058631921824104,12280,2318,26577310.00,3144,25.60,196.80,118.50
20-June-2022,2060.00,2089.55,2015.00,2057.95,2051.425353773584905660,8480,1499,17396087.00,2009,23.69,74.55,-2.05
17-June-2022,2121.00,2121.00,2001.80,2027.20,2062.270262580278026176,24602,3674,50735973.00,11770,47.84,119.20,-93.80
16-June-2022,2090.00,2174.80,2060.00,2127.10,2101.458891377913350173,20981,2669,44090709.00,6536,31.15,114.80,37.10
15-June-2022,2080.05,2119.95,2029.75,2051.85,2076.057104316546762589,8896,1402,18468604.00,3174,35.68,90.20,-28.20
14-June-2022,2060.00,2117.20,2045.30,2057.00,2083.658957654723127035,15350,2642,31984165.00,5091,33.17,71.90,-3.00
13-June-2022,1984.15,2124.10,1984.15,2057.15,2080.798710913683477049,11481,1864,23889650.00,3732,32.51,139.95,73.00
10-June-2022,2100.00,2111.35,2007.00,2041.75,2057.626078028747433264,9740,1622,20041278.00,4036,41.44,104.35,-58.25
9-June-2022,2089.00,2130.00,2055.55,2113.95,2103.319754559400034088,5867,1208,12340177.00,2108,35.93,74.45,24.95
8-June-2022,2051.00,2108.00,2021.65,2089.15,2076.334309159458860057,22545,3750,46810957.00,12428,55.13,86.35,38.15
7-June-2022,2015.05,2079.00,1975.00,2049.85,2044.019590095041055149,15467,2201,31614851.00,5657,36.57,104.00,34.80
6-June-2022,2015.05,2029.65,1925.00,2006.85,1988.373631056377040098,23467,3211,46661164.00,6840,29.15,104.65,-8.20
