Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,2702.00,2779.00,2686.85,2772.95,2746.823115502657384534,80154,9660,220168860.00,38564,48.11,92.15,70.95
30-June-2022,2710.00,2725.80,2680.00,2697.50,2704.108816916025252962,46252,7484,125070441.00,10446,22.58,45.80,-12.50
29-June-2022,2720.00,2720.00,2677.65,2698.65,2701.340169143527571372,40912,6290,110517229.00,12475,30.49,42.35,-21.35
28-June-2022,2785.00,2785.00,2705.00,2728.90,2726.607849480318904704,95828,9488,261285377.00,58037,60.56,80.00,-56.10
27-June-2022,2790.00,2826.50,2764.80,2820.60,2788.868863786576939253,33286,3992,92830289.00,17099,51.37,61.70,30.60
24-June-2022,2767.10,2786.15,2725.75,2760.10,2750.178103356419818859,56310,7821,154862529.00,22657,40.24,60.40,-7.00
23-June-2022,2674.95,2767.00,2674.95,2758.60,2733.520259472643929517,95116,10623,260001513.00,40803,42.90,92.05,83.65
22-June-2022,2682.00,2707.70,2626.95,2668.25,2661.063299432208148748,96162,9001,255893169.00,62282,64.77,80.75,-13.75
21-June-2022,2665.00,2709.95,2641.20,2678.80,2690.722096523501288685,50827,4324,136761332.00,28276,55.63,68.75,13.80
20-June-2022,2620.00,2672.00,2590.00,2659.55,2631.597685384947297047,64892,10034,170769637.00,24763,38.16,82.00,39.55
17-June-2022,2653.50,2657.95,2560.25,2583.20,2601.954903082300603749,78675,18290,204708802.00,35434,45.04,97.70,-70.30
16-June-2022,2690.00,2726.65,2641.00,2657.45,2663.762740802783325816,62084,6590,165377046.00,31477,50.70,85.65,-32.55
15-June-2022,2669.40,2681.30,2629.00,2660.65,2654.151653543307086614,31750,3397,84269315.00,12276,38.66,52.30,-8.75
14-June-2022,2607.55,2665.30,2585.05,2635.35,2625.985273720440418500,116798,17624,306709828.00,63996,54.79,80.25,27.80
13-June-2022,2695.00,2695.00,2643.65,2661.95,2661.184282854331376607,88413,17457,235283286.00,50609,57.24,51.35,-33.05
10-June-2022,2666.00,2736.00,2652.45,2708.75,2712.325398006249070078,154583,13247,419279397.00,108666,70.30,83.55,42.75
9-June-2022,2680.00,2698.80,2634.25,2687.75,2667.735265700483091787,182160,22576,485954656.00,131782,72.34,64.55,7.75
8-June-2022,2772.10,2772.15,2700.45,2705.55,2725.401123477982661769,162531,19570,442962170.00,116170,71.48,71.70,-66.55
7-June-2022,2806.00,2806.00,2731.20,2745.15,2747.867483264892839061,142216,24017,390790722.00,103483,72.76,74.80,-60.85
6-June-2022,2885.00,2885.00,2808.00,2818.75,2839.836895043325624808,71782,10374,203849172.00,42685,59.46,77.00,-66.25
3-June-2022,2900.00,2919.90,2856.15,2887.00,2890.918566930636389657,20962,2805,60599435.00,6159,29.38,63.75,-13.00
2-June-2022,2940.40,2940.40,2849.55,2908.35,2887.084802444160026423,72663,8007,209784243.00,26992,37.15,90.85,-32.05
1-June-2022,2864.00,2938.00,2833.00,2853.10,2887.536053036202799576,100158,10424,289209836.00,21866,21.83,105.00,-10.90
31-May-2022,2850.00,2877.15,2812.40,2860.10,2855.130704837730628608,70839,9459,202254604.00,19811,27.97,64.75,10.10
30-May-2022,2890.00,2890.00,2818.00,2844.70,2856.544014584714461596,84472,10049,241297986.00,27697,32.79,72.00,-45.30
27-May-2022,2883.30,2883.30,2781.85,2835.05,2815.635741481987698916,102430,15780,288405569.00,38435,37.52,101.45,-48.25
26-May-2022,2850.00,2858.90,2719.50,2844.45,2772.951679111408298970,323028,30807,895741035.00,168107,52.04,139.40,-5.55
25-May-2022,3060.00,3060.00,2828.05,2838.40,2904.084607288377570054,95961,13528,278678863.00,47818,49.83,231.95,-221.60
24-May-2022,3174.00,3183.90,3070.25,3086.50,3129.625808087210039295,23667,3350,74068854.00,6654,28.12,113.65,-87.50
23-May-2022,3128.00,3187.35,3128.00,3174.00,3171.441045115395929719,37393,4929,118589695.00,11588,30.99,59.35,46.00
20-May-2022,3100.00,3124.00,3051.70,3109.55,3107.526365603028664142,22188,3062,68949795.00,10251,46.20,72.30,9.55
19-May-2022,3000.00,3071.65,2999.20,3046.45,3044.330887868420571177,54659,6497,166400082.00,16237,29.71,72.45,46.45
18-May-2022,3048.00,3127.00,3028.65,3100.10,3096.223062804433254112,84994,7521,263160383.00,57697,67.88,98.35,52.10
17-May-2022,2999.45,3055.90,2951.75,3049.80,3004.149984367323239090,44778,5416,134519828.00,8995,20.09,104.15,50.35
16-May-2022,3085.25,3085.25,2985.30,2999.45,3018.719714478555212402,48893,7382,147594263.00,18548,37.94,99.95,-85.80
13-May-2022,3061.00,3116.95,3036.15,3065.20,3075.469295809418009010,64812,7456,199327316.00,35528,54.82,80.80,4.20
12-May-2022,3022.20,3077.60,2987.85,3039.40,3035.029185457109168925,82267,12051,249682746.00,29419,35.76,89.75,17.20
11-May-2022,3085.05,3106.75,2980.00,3054.10,3030.435530630673447079,63123,7814,191290182.00,20090,31.83,126.75,-30.95
10-May-2022,3038.30,3137.90,3037.10,3083.70,3079.140762206599486959,114221,13709,351702537.00,24255,21.24,100.80,45.40
