Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,2406.00,2441.00,2371.00,2388.00,2398.913160179995263282,12667,1779,30387033.00,2296,18.13,70.00,-18.00
30-June-2022,2385.00,2443.45,2375.15,2391.55,2401.775157694000293384,27268,3036,65491605.00,11579,42.46,68.30,6.55
29-June-2022,2366.00,2462.00,2312.15,2336.80,2403.846552849438356634,29111,3858,69978377.00,4477,15.38,149.85,-29.20
28-June-2022,2270.00,2411.40,2244.90,2392.70,2353.345001143902997025,30597,3526,72005297.00,7147,23.36,166.50,122.70
27-June-2022,2338.00,2338.00,2262.00,2287.40,2295.534422809457579972,11504,1479,26407828.00,3527,30.66,76.00,-50.60
24-June-2022,2280.00,2335.00,2264.50,2283.65,2293.549287410926365795,16840,2026,38623370.00,3636,21.59,70.50,3.65
23-June-2022,2280.00,2329.80,2195.00,2261.15,2253.505487313733387031,39728,4759,89527266.00,5903,14.86,134.80,-18.85
22-June-2022,2395.00,2458.55,2230.00,2270.65,2306.811728597473800186,76241,10109,175873633.00,8242,10.81,228.55,-124.35
21-June-2022,2000.00,2386.30,1983.05,2381.20,2244.610249794769555529,42635,5886,95698958.00,12398,29.08,403.25,381.20
20-June-2022,2164.90,2180.10,1950.00,1988.60,2024.231958941637479626,28837,4045,58372777.00,8539,29.61,230.10,-176.30
17-June-2022,2335.00,2347.75,2063.25,2146.25,2206.689476377281255330,58630,7479,129378204.00,14691,25.06,284.50,-188.75
16-June-2022,2373.05,2405.00,2240.65,2377.60,2353.512755746400606213,19795,2879,46587785.00,9573,48.36,164.35,4.55
15-June-2022,2409.00,2417.35,2335.00,2353.00,2375.090335305719921104,15210,2064,36125124.00,3523,23.16,82.35,-56.00
14-June-2022,2341.00,2395.00,2305.00,2375.75,2356.034488631525163927,11743,1641,27666913.00,3367,28.67,90.00,34.75
13-June-2022,2348.00,2400.00,2320.00,2337.35,2356.377471867147383371,9153,1309,21567923.00,3898,42.59,80.00,-10.65
10-June-2022,2436.05,2483.05,2374.05,2394.55,2428.091191894053861878,11251,1890,27318454.00,4596,40.85,109.00,-41.50
9-June-2022,2430.00,2517.25,2413.60,2500.20,2469.206036428110896196,24816,2853,61275817.00,14633,58.97,103.65,70.20
8-June-2022,2487.00,2524.80,2427.00,2447.90,2477.730029842459573877,14409,2606,35701612.00,5459,37.89,97.80,-39.10
7-June-2022,2456.00,2585.00,2420.10,2501.60,2521.333923238579803119,18082,2681,45590760.00,5651,31.25,164.90,45.60
6-June-2022,2376.00,2510.00,2285.00,2478.25,2418.242559925888755934,25907,3908,62649410.00,12414,47.92,225.00,102.25
3-June-2022,2484.85,2484.85,2360.00,2391.35,2422.548078964126512417,9422,1775,22825248.00,3147,33.40,124.85,-93.50
2-June-2022,2345.00,2494.75,2293.40,2444.90,2399.629916357632027718,36943,4259,88649528.00,17662,47.81,201.35,99.90
1-June-2022,2396.20,2456.95,2280.00,2326.15,2367.002362567707733087,17354,3360,41076959.00,3946,22.74,176.95,-70.05
31-May-2022,2596.00,2624.00,2335.05,2392.50,2473.863087454811168371,26002,4102,64325388.00,8753,33.66,288.95,-203.50
