Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,10930.00,11344.95,10777.00,11326.35,11158.272886552781427945,15981,3301,178320359.00,1936,12.11,567.95,396.35
30-June-2022,11150.00,11189.20,10908.00,10929.30,11024.581887883358471593,15912,4398,175423147.00,4256,26.75,281.20,-220.70
29-June-2022,11200.00,11303.00,11043.95,11114.45,11161.432704839690676861,11509,2808,128456929.00,2815,24.46,259.05,-85.55
28-June-2022,11530.00,11530.00,11294.10,11363.20,11374.012504772814051164,10476,2471,119154155.00,1926,18.38,235.90,-166.80
27-June-2022,11700.00,11779.70,11570.00,11594.80,11673.402581904968539813,9218,2042,107605425.00,1997,21.66,209.70,-105.20
24-June-2022,11694.90,11694.90,11430.05,11581.20,11566.130220713073005093,17670,3283,204373521.00,3240,18.34,264.85,-113.70
23-June-2022,11496.00,11598.55,11312.55,11560.20,11496.630095004596996628,13052,2283,150054016.00,1465,11.22,286.00,64.20
22-June-2022,11735.00,11737.00,11347.50,11435.00,11442.701336146272855133,14220,2286,162715213.00,1627,11.44,389.50,-300.00
21-June-2022,11740.05,11928.60,11676.65,11735.10,11792.755976095617529880,12048,3184,142079124.00,3119,25.89,251.95,-4.95
20-June-2022,11803.00,11850.05,11530.00,11713.20,11692.484972889233152594,12910,4032,150949981.00,3203,24.81,320.05,-89.80
17-June-2022,11340.00,11860.00,11285.00,11758.40,11666.871064051379968755,28805,7355,336064221.00,4880,16.94,575.00,418.40
16-June-2022,12049.95,12066.75,11406.00,11474.50,11675.053330951955706376,27995,6549,326843118.00,4229,15.11,660.75,-575.45
15-June-2022,11490.00,11871.00,11411.20,11813.85,11718.328127331509574732,20105,4101,235596987.00,4262,21.20,459.80,323.85
14-June-2022,11326.00,11583.00,11271.05,11334.80,11426.628832788225674570,19568,5338,223596273.00,3891,19.88,311.95,8.80
13-June-2022,12050.00,12050.00,11351.00,11390.90,11551.879149571055576277,18767,5154,216794116.00,7095,37.81,699.00,-659.10
10-June-2022,12320.00,12379.15,12180.00,12250.65,12271.230910876503805548,8146,2812,99961447.00,2098,25.75,199.15,-69.35
9-June-2022,12400.00,12518.75,12252.25,12474.30,12428.147464412811387900,4496,1407,55876951.00,679,15.10,266.50,74.30
8-June-2022,12440.00,12636.65,12250.00,12464.00,12454.701886792452830188,6890,1892,85812896.00,1404,20.38,386.65,24.00
7-June-2022,12516.00,12516.00,12235.00,12336.35,12325.313074414467832789,6746,2702,83146562.00,2406,35.67,281.00,-179.65
6-June-2022,12750.00,12750.00,12280.05,12520.55,12434.080984700333601748,8693,2441,108089466.00,1373,15.79,469.95,-229.45
3-June-2022,13177.60,13220.20,12656.25,12691.05,12968.812923728813559322,9440,3026,122425594.00,2228,23.60,563.95,-486.55
2-June-2022,12575.00,13030.00,12450.00,12961.40,12823.395224830879426979,12565,3419,161125961.00,4957,39.45,580.00,386.40
