Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,3435.00,3592.75,3411.30,3582.50,3513.589171617531666853,8921,1653,31344729.00,2233,25.03,181.45,147.50
30-June-2022,3400.75,3482.00,3390.80,3465.65,3441.839012138970280452,11945,1858,41112767.00,2419,20.25,91.20,64.90
29-June-2022,3410.00,3455.00,3374.00,3404.75,3409.791119333950046253,5405,1182,18429921.00,1125,20.81,81.00,-5.25
28-June-2022,3500.00,3500.00,3388.00,3434.65,3424.592404648878703552,6109,956,20920835.00,2288,37.45,112.00,-65.35
27-June-2022,3475.50,3505.75,3447.60,3457.55,3466.990206092651565222,33286,2887,115402236.00,5247,15.76,58.15,-17.95
24-June-2022,3430.05,3504.65,3430.05,3475.65,3481.904265152515515647,7573,1157,26368461.00,1346,17.77,74.60,45.60
23-June-2022,3407.00,3444.00,3391.60,3410.35,3411.131005716051289973,6473,1685,22080251.00,1169,18.06,52.40,3.35
22-June-2022,3400.00,3453.00,3387.10,3404.30,3417.524638212126763143,5459,987,18656267.00,1328,24.33,65.90,4.30
21-June-2022,3376.60,3471.00,3376.60,3428.15,3428.268455257457090484,6001,1420,20573039.00,1136,18.93,94.40,51.55
20-June-2022,3280.00,3398.90,3272.00,3376.65,3356.508316572486671136,62646,6543,210271820.00,53153,84.85,126.90,96.65
17-June-2022,3411.95,3411.95,3300.30,3334.60,3337.792670848464839881,18174,3097,60661044.00,8717,47.96,111.65,-77.35
16-June-2022,3431.00,3431.00,3372.10,3395.90,3399.583073322932917316,12820,2350,43582655.00,4201,32.77,58.90,-35.10
15-June-2022,3387.55,3400.00,3354.55,3385.70,3379.945294445772571519,25098,1844,84829867.00,19049,75.90,45.45,-1.85
14-June-2022,3366.60,3391.90,3333.80,3382.05,3373.485778476746798472,22255,2011,75076926.00,13678,61.46,58.10,15.45
13-June-2022,3322.00,3372.00,3311.55,3357.20,3352.333292398378975807,8143,1653,27298050.00,2578,31.66,60.45,35.20
10-June-2022,3309.00,3370.60,3302.30,3364.55,3347.197399229134397175,27761,2417,92921547.00,19514,70.29,68.30,55.55
9-June-2022,3364.60,3375.00,3308.60,3348.60,3339.671616022099447513,5792,1261,19343378.00,1142,19.72,66.40,-16.00
8-June-2022,3382.00,3399.00,3310.35,3363.30,3353.176753025907772331,9997,1447,33521708.00,1534,15.34,88.65,-18.70
7-June-2022,3450.00,3516.40,3357.35,3383.00,3411.785731244064577397,8424,1083,28740883.00,3259,38.69,159.05,-67.00
6-June-2022,3511.15,3531.65,3451.20,3490.75,3490.911100489903214243,8369,1415,29215435.00,3326,39.74,80.45,-20.40
3-June-2022,3600.00,3600.00,3495.00,3530.85,3531.035395458104933437,6385,902,22545661.00,3147,49.29,105.00,-69.15
2-June-2022,3584.00,3584.00,3505.00,3575.75,3542.118607516943930991,6492,1194,22995434.00,2677,41.24,79.00,-8.25
1-June-2022,3656.20,3669.00,3533.25,3551.50,3601.328457187439048176,10254,1829,36928022.00,4341,42.33,135.75,-104.70
