Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,494.50,512.30,492.10,510.90,504.541387728205358613,66771,2891,33688733.00,23916,35.82,20.20,16.40
30-June-2022,500.00,502.90,495.00,495.95,498.348309722798490506,50613,2589,25222903.00,17281,34.14,7.90,-4.05
29-June-2022,510.95,512.65,498.20,501.25,507.370231798047563755,23253,1203,11797880.00,6915,29.74,14.45,-9.70
28-June-2022,516.00,516.00,507.65,511.80,510.886725354947797847,149036,2422,76140514.00,19013,12.76,8.35,-4.20
27-June-2022,518.20,518.20,512.50,516.10,514.782737576285963382,17205,1127,8856837.00,5013,29.14,5.70,-2.10
24-June-2022,509.80,514.75,507.60,509.45,510.789127550876400688,35429,1717,18096748.00,9069,25.60,7.15,-0.35
23-June-2022,504.90,509.00,501.15,504.90,506.170576178547028011,21955,1036,11112975.00,5843,26.61,7.85,0.00
22-June-2022,506.30,512.20,495.25,498.85,502.103963019129926367,54731,2373,27480652.00,16505,30.16,16.95,-7.45
21-June-2022,502.80,510.30,498.30,506.30,504.887776174086821361,45035,1943,22737621.00,6962,15.46,12.00,3.50
20-June-2022,485.60,503.00,484.85,500.30,496.453013342256957188,370552,4879,183961657.00,29374,7.93,18.15,14.70
17-June-2022,500.00,500.00,482.20,485.10,488.285239148418902264,59231,3300,28921623.00,15308,25.84,17.80,-14.90
16-June-2022,496.50,501.55,493.00,496.80,497.479155692678154864,26578,1591,13222001.00,5342,20.10,8.55,0.30
15-June-2022,499.70,500.95,493.00,496.10,497.818273895196972120,37518,2059,18677146.00,10480,27.93,7.95,-3.60
14-June-2022,499.90,502.75,492.25,495.95,497.877595551488702752,28414,1437,14146694.00,5822,20.49,10.50,-3.95
13-June-2022,503.40,506.90,494.50,497.60,499.824802680143092385,88055,2755,44012073.00,20828,23.65,12.40,-5.80
10-June-2022,497.00,504.45,491.30,502.20,499.944122330652076272,48982,2785,24488263.00,14964,30.55,13.15,5.20
9-June-2022,496.45,498.65,489.00,497.75,491.588558255976799236,80687,2902,39664806.00,15631,19.37,9.65,1.30
8-June-2022,504.60,504.60,491.80,495.10,495.589632055677805639,58623,4453,29052951.00,20290,34.61,12.80,-9.50
7-June-2022,509.00,509.00,496.70,501.30,501.272850340771169825,42844,2663,21476534.00,14599,34.07,12.30,-7.70
