Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,3595.00,3647.75,3581.35,3634.80,3610.149352560329605650,6796,1825,24534575.00,2599,38.24,66.40,39.80
30-June-2022,3555.00,3637.15,3551.15,3631.00,3598.082444131266357962,9934,2095,35743351.00,2798,28.17,86.00,76.00
29-June-2022,3575.00,3596.70,3546.00,3584.50,3570.082876502434539820,29369,4109,104849764.00,20210,68.81,50.70,9.50
28-June-2022,3678.80,3678.80,3583.40,3613.95,3610.934498233552945669,10473,2539,37817317.00,3457,33.01,95.40,-64.85
27-June-2022,3724.90,3724.90,3660.15,3673.50,3681.668983122961282087,7051,1319,25959448.00,1494,21.19,64.75,-51.40
24-June-2022,3679.00,3700.00,3640.65,3680.40,3669.608091787439613526,16560,2672,60768710.00,5957,35.97,59.35,1.40
23-June-2022,3621.00,3689.00,3607.60,3666.60,3650.384316955863205165,37633,4590,137374913.00,19385,51.51,81.40,45.60
22-June-2022,3598.00,3622.85,3545.25,3603.40,3585.749683594367979750,25284,2743,90662095.00,17460,69.06,77.60,5.40
21-June-2022,3572.35,3614.60,3544.40,3599.70,3590.109267110841913991,8255,1542,29636352.00,3108,37.65,70.20,27.35
20-June-2022,3510.00,3539.00,3454.00,3529.10,3498.459179992785860286,8317,1565,29096685.00,3164,38.04,85.00,19.10
17-June-2022,3575.00,3575.00,3458.00,3481.30,3493.907496736848078996,17621,2592,61566144.00,9777,55.48,117.00,-93.70
16-June-2022,3620.00,3620.00,3535.00,3564.65,3569.646336144227973248,13756,2257,49104055.00,6681,48.57,85.00,-55.35
15-June-2022,3553.00,3589.75,3522.50,3580.70,3576.323763465622681098,39081,3373,139766309.00,29650,75.87,67.25,27.70
14-June-2022,3449.85,3546.50,3449.85,3526.40,3507.891915641476274165,7966,1275,27943867.00,2349,29.49,96.65,76.55
13-June-2022,3488.50,3521.35,3458.50,3472.65,3496.513609926328034121,12895,1813,45087543.00,8248,63.96,62.85,-15.85
10-June-2022,3500.00,3540.00,3450.00,3526.15,3503.090996925779534475,11385,2553,39882691.00,4157,36.51,90.00,26.15
9-June-2022,3480.00,3517.00,3453.20,3507.55,3492.931546319741552431,11453,2155,40004545.00,4104,35.83,63.80,27.55
8-June-2022,3499.00,3519.00,3470.00,3499.60,3500.813681241184767277,7090,1155,24820769.00,2654,37.43,49.00,0.60
