Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,3396.30,3403.75,3332.70,3386.85,3372.790255605794961705,10837,2378,36550928.00,2936,27.09,71.05,-9.45
30-June-2022,3470.00,3473.80,3370.00,3396.30,3427.390234718212627086,7967,1734,27306018.00,2791,35.03,103.80,-73.70
29-June-2022,3459.00,3525.40,3427.00,3443.95,3467.653546163613277707,11026,2110,38234348.00,3349,30.37,98.40,-15.05
28-June-2022,3413.90,3495.00,3374.85,3479.10,3456.156779964221824686,13975,2200,48299791.00,5430,38.86,120.15,65.20
27-June-2022,3460.00,3460.00,3399.00,3406.65,3428.373376250143694677,8699,1626,29823420.00,3450,39.66,61.00,-53.35
24-June-2022,3489.90,3489.90,3392.00,3411.15,3419.727488307753112443,15181,2645,51914883.00,9037,59.53,97.90,-78.75
23-June-2022,3470.00,3503.05,3390.35,3438.90,3437.260607875430453660,33395,5272,114787318.00,16247,48.65,112.70,-31.10
22-June-2022,3520.00,3520.10,3468.00,3489.95,3487.206198411462389035,6421,1465,22391351.00,2198,34.23,52.10,-30.05
21-June-2022,3513.90,3545.10,3451.00,3516.35,3491.555742334588488434,14872,2658,51926417.00,3720,25.01,94.10,2.45
20-June-2022,3499.00,3544.65,3458.25,3477.50,3492.362121336507675888,12181,2219,42540463.00,3093,25.39,86.40,-21.50
17-June-2022,3684.00,3684.00,3414.75,3460.35,3510.203871846423244049,30838,6528,108247667.00,11757,38.12,269.25,-223.65
16-June-2022,3735.90,3735.90,3562.60,3678.75,3658.144019400766643197,12783,2532,46762055.00,2684,21.00,173.30,-57.15
15-June-2022,3669.00,3744.00,3645.00,3662.60,3691.639975796692214602,9916,1939,36606302.00,2679,27.02,99.00,-6.40
14-June-2022,3645.00,3712.55,3553.00,3642.25,3640.563865330249293240,27237,3221,99158038.00,14852,54.53,159.55,-2.75
13-June-2022,3730.00,3742.85,3643.50,3660.55,3693.385398385398385398,11396,2587,42089820.00,3419,30.00,99.35,-69.45
10-June-2022,3780.00,3838.70,3735.95,3755.55,3788.886195498189831575,19059,4323,72212382.00,5777,30.31,102.75,-24.45
9-June-2022,3725.00,3850.00,3693.00,3832.95,3794.296503420566836790,18418,3345,69883353.00,4923,26.73,157.00,107.95
8-June-2022,3751.00,3766.00,3700.05,3738.30,3731.520900321543408360,10263,2253,38296599.00,3303,32.18,65.95,-12.70
7-June-2022,3728.00,3778.60,3653.00,3725.95,3724.713289280469897209,21792,5044,81168952.00,8408,38.58,125.60,-2.05
6-June-2022,3805.00,3805.00,3675.00,3736.05,3729.608001857811100421,30143,6026,112421574.00,9403,31.19,130.00,-68.95
3-June-2022,3905.00,3905.00,3767.80,3823.60,3815.516726611749236183,25857,5494,98657816.00,8440,32.64,137.20,-81.40
2-June-2022,3899.95,3926.05,3833.00,3857.50,3890.217333595516665028,20342,2669,79134801.00,1940,9.54,93.05,-42.45
1-June-2022,3970.00,4037.90,3815.20,3871.90,3894.143108770999450747,52799,9782,205606862.00,13449,25.47,222.70,-98.10
31-May-2022,3810.00,4048.00,3768.25,3973.20,3951.184907783268619837,90656,13722,358198619.00,45805,50.53,279.75,163.20
30-May-2022,3675.00,3821.10,3648.00,3798.00,3736.478150957024196460,19383,2712,72424156.00,7380,38.07,173.10,123.00
27-May-2022,3620.00,3647.75,3588.40,3611.70,3616.305873750913965391,16412,3453,59350812.00,4512,27.49,59.35,-8.30
26-May-2022,3621.30,3629.00,3465.10,3579.65,3531.851383574557755226,18033,2878,63689876.00,3028,16.79,163.90,-41.65
25-May-2022,3683.00,3694.45,3555.55,3586.10,3624.358256697321071571,20008,4357,72516160.00,7365,36.81,138.90,-96.90
24-May-2022,3589.80,3685.05,3577.50,3658.20,3621.129747971566022833,13927,2436,50431474.00,3378,24.26,107.55,68.40
23-May-2022,3679.50,3691.95,3551.60,3570.20,3640.125570776255707762,14016,2305,51020000.00,3302,23.56,140.35,-109.30
20-May-2022,3707.05,3715.95,3610.00,3627.55,3667.543657736468015308,36580,5502,134158747.00,9296,25.41,105.95,-79.50
19-May-2022,3549.00,3647.95,3490.85,3617.85,3579.388342114855684793,30177,4074,108015202.00,5033,16.68,157.10,68.85
18-May-2022,3724.00,3781.95,3639.70,3660.70,3720.624538150255117001,68204,10921,253761476.00,20511,30.07,142.25,-63.30
17-May-2022,3614.40,3722.05,3475.00,3664.15,3576.698248016744618723,77398,13404,276829291.00,20276,26.20,247.05,49.75
16-May-2022,3272.00,3620.00,3185.10,3562.90,3458.210582327313844823,120276,18706,415939736.00,34668,28.82,434.90,290.90
13-May-2022,3370.00,3370.00,3206.75,3234.95,3292.006706439004320098,24305,4985,80012223.00,11503,47.33,163.25,-135.05
12-May-2022,3310.00,3335.00,3247.00,3262.30,3285.425780013366632663,56858,15035,186802739.00,24688,43.42,88.00,-47.70
11-May-2022,3439.00,3499.00,3312.25,3340.75,3361.976650845199433758,60045,14724,201869888.00,25934,43.19,186.75,-98.25
10-May-2022,3488.00,3548.95,3403.15,3415.95,3448.179505932065659028,24612,4645,84866594.00,10027,40.74,145.80,-72.05
9-May-2022,3650.00,3657.40,3486.00,3520.10,3531.181715575620767494,28352,5777,100116064.00,11790,41.58,171.40,-129.90
6-May-2022,3880.00,3890.50,3604.65,3664.55,3748.024533614924322421,28410,6537,106481377.00,12377,43.57,285.85,-215.45
5-May-2022,3925.00,3975.00,3776.75,3943.05,3867.199675749176298310,19121,4006,73944725.00,4517,23.62,198.25,18.05
4-May-2022,3988.00,4022.50,3850.00,3866.85,3972.228908197064893999,219481,10436,871828773.00,203195,92.58,172.50,-121.15
2-May-2022,3930.00,3995.00,3887.05,3984.95,3931.644082582145972666,27512,6534,108167392.00,12544,45.59,107.95,54.95
29-April-2022,4030.00,4083.95,3909.45,3948.60,4016.221253444006556690,28673,6174,115157112.00,11846,41.31,174.50,-81.40
28-April-2022,3997.95,4052.00,3997.95,4025.50,4030.560323338793533224,28082,4390,113186195.00,18695,66.57,54.05,27.55
27-April-2022,4024.00,4024.00,3962.00,3977.80,3992.676985981308411214,6848,1403,27341852.00,3646,53.24,62.00,-46.20
26-April-2022,3998.00,4048.00,3996.05,4040.75,4024.711551155115511551,9090,1357,36584628.00,5570,61.28,51.95,42.75
25-April-2022,4013.95,4021.00,3977.00,3988.75,3996.228423837722061232,7937,1672,31718065.00,3975,50.08,44.00,-25.20
22-April-2022,4033.80,4060.00,3997.00,4028.80,4023.673267858101218268,18633,4285,74973104.00,8570,45.99,63.00,-5.00
21-April-2022,4095.00,4095.00,4015.00,4031.00,4052.543465962662643786,5303,1177,21490638.00,2364,44.58,80.00,-64.00
20-April-2022,4020.00,4064.95,4000.00,4054.40,4027.660728172499116295,28290,4728,113942522.00,10728,37.92,64.95,34.40
19-April-2022,4065.00,4125.60,3975.10,4009.00,4047.336876328623233712,7997,1790,32366553.00,3562,44.54,150.50,-56.00
18-April-2022,4085.00,4085.00,4012.20,4055.80,4049.504811898512685914,12573,2242,50914424.00,5651,44.95,72.80,-29.20
13-April-2022,4099.00,4115.55,4081.15,4090.50,4094.753060225232577117,6127,1135,25088552.00,2751,44.90,34.40,-8.50
12-April-2022,4171.00,4176.10,4075.00,4085.65,4117.211200861604738826,9285,1853,38228306.00,3840,41.36,101.10,-85.35
11-April-2022,4148.00,4200.00,4128.40,4171.20,4180.874613322334501959,9698,1686,40546122.00,3993,41.17,71.60,23.20
