Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,970.00,981.75,964.40,976.35,971.344254198221929535,48592,2632,47199560.00,13381,27.54,17.35,6.35
30-June-2022,986.35,996.35,970.30,973.05,977.616556263286021273,259201,8896,253399189.00,212513,81.99,26.05,-13.30
29-June-2022,981.00,1000.00,981.00,988.30,992.273130336716610278,155175,7528,153975983.00,78161,50.37,19.00,7.30
28-June-2022,991.80,1007.55,983.50,1002.55,994.058854601056435918,35970,1840,35756297.00,7601,21.13,24.05,10.75
27-June-2022,980.00,1006.45,980.00,991.80,997.255737181847188474,81486,3436,81262381.00,16487,20.23,26.45,11.80
24-June-2022,982.00,984.15,960.00,966.55,970.334171229805562726,73597,5429,71413684.00,26982,36.66,24.15,-15.45
23-June-2022,961.60,977.65,959.00,971.45,971.203574731075813795,85433,4308,82972835.00,24456,28.63,18.65,9.85
22-June-2022,980.00,980.00,959.05,961.60,968.387879877719834562,66732,5586,64622460.00,20851,31.25,20.95,-18.40
21-June-2022,965.30,999.65,963.80,987.35,984.668162759780472007,88007,6306,86657691.00,25378,28.84,35.85,22.05
20-June-2022,959.25,966.00,952.20,960.35,958.940482156516234536,75826,6152,72712621.00,25472,33.59,13.80,1.10
17-June-2022,955.00,962.55,944.35,959.25,953.690037088706658954,117556,11655,112111986.00,52215,44.42,18.20,4.25
16-June-2022,1002.15,1003.70,961.75,965.10,980.584375417204396778,89884,9148,88138846.00,36442,40.54,41.95,-37.05
15-June-2022,1004.00,1006.75,988.05,990.30,996.010294106744363633,809298,2381,806069139.00,784682,96.96,18.70,-13.70
14-June-2022,988.00,1000.90,977.95,996.60,991.246849269030415056,47608,2958,47191280.00,13409,28.17,22.95,8.60
13-June-2022,1000.00,1001.95,983.00,991.00,991.888914942259218008,102354,11656,101523798.00,52120,50.92,18.95,-9.00
10-June-2022,1020.80,1022.35,1008.35,1016.30,1015.392570621468926553,35400,3403,35944897.00,10904,30.80,14.00,-4.50
