Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,2163.55,2221.00,2133.45,2210.65,2182.390189172722274233,67293,4693,146859583.00,33710,50.09,87.55,47.10
30-June-2022,2151.00,2193.00,2151.00,2163.55,2173.887399792873307506,130355,6937,283377092.00,113488,87.06,42.00,12.55
29-June-2022,2155.00,2189.95,2155.00,2176.70,2178.033186485947165640,65147,3898,141892328.00,48857,75.00,34.95,21.70
28-June-2022,2173.00,2195.00,2159.00,2181.30,2171.412441270437887615,26605,3438,57770428.00,8911,33.49,36.00,8.30
27-June-2022,2222.00,2222.00,2190.00,2194.95,2202.724988383314865782,139885,6925,308128185.00,100622,71.93,32.00,-27.05
24-June-2022,2164.25,2200.10,2158.95,2189.15,2184.468436471626936351,99672,5087,217730338.00,78000,78.26,41.15,24.90
23-June-2022,2159.00,2179.00,2136.00,2164.05,2171.022303130722944100,91736,3764,199160902.00,70546,76.90,43.00,5.05
22-June-2022,2155.00,2185.10,2151.00,2158.70,2171.815546029873867847,113611,4842,246742136.00,70911,62.42,34.10,3.70
21-June-2022,2150.00,2192.20,2139.70,2175.30,2173.460737937559129612,70819,5335,153922316.00,41477,58.57,52.50,25.30
20-June-2022,2060.10,2139.15,2060.10,2134.25,2114.912022789361851168,214135,9965,452876686.00,153802,71.82,79.05,74.15
17-June-2022,2035.00,2065.00,2026.55,2052.75,2046.943254942538588230,163327,14223,334321101.00,120755,73.93,38.45,17.75
16-June-2022,2117.00,2133.45,2049.40,2057.45,2077.172480717094008543,199918,11500,415264168.00,132954,66.50,84.05,-59.55
15-June-2022,2099.00,2111.40,2071.50,2105.45,2094.247756377193887325,135718,5677,284227117.00,110942,81.74,39.90,6.45
14-June-2022,2099.95,2132.00,2090.35,2104.90,2113.200074178407901766,226481,14099,478599666.00,153092,67.60,41.65,4.95
13-June-2022,2110.00,2138.30,2089.50,2131.20,2113.876290757093855225,953607,9241,2015807228.00,911789,95.61,48.80,21.20
10-June-2022,2230.00,2245.40,2173.05,2179.55,2197.898216643994081958,201418,15721,442696263.00,149662,74.30,72.35,-50.45
9-June-2022,2235.25,2274.00,2235.25,2265.55,2255.715508406725380304,124900,8283,281738867.00,101936,81.61,38.75,30.30
8-June-2022,2272.00,2280.00,2242.65,2259.60,2267.940074044635947206,47809,3296,108427947.00,30229,63.23,37.35,-12.40
7-June-2022,2243.40,2263.05,2226.25,2259.20,2248.316134430344442894,35855,2134,80613375.00,15302,42.68,36.80,15.80
6-June-2022,2262.00,2288.00,2256.60,2270.85,2275.553126198695818948,39105,3451,88985505.00,13897,35.54,31.40,8.85
3-June-2022,2308.00,2315.75,2271.55,2278.10,2293.442254355494520289,148548,5294,340686260.00,87138,58.66,44.20,-29.90
2-June-2022,2329.40,2329.40,2279.00,2289.60,2293.972359819537795783,54305,3564,124574169.00,33446,61.59,50.40,-39.80
1-June-2022,2304.00,2335.50,2291.90,2328.85,2320.100408041586704179,53671,5014,124522109.00,25312,47.16,43.60,24.85
31-May-2022,2326.10,2334.30,2288.05,2307.20,2317.488761803431307354,45114,3824,104551188.00,16065,35.61,46.25,-18.90
30-May-2022,2369.00,2387.90,2360.30,2366.30,2374.562688531227857070,49395,4129,117291524.00,24366,49.33,27.60,-2.70
27-May-2022,2307.00,2334.00,2300.45,2330.05,2321.280194681603132307,110334,9242,256116129.00,64331,58.31,33.55,23.05
26-May-2022,2243.00,2301.00,2239.95,2288.40,2275.852030095573781603,103271,8061,235029515.00,32420,31.39,61.05,45.40
25-May-2022,2218.00,2250.50,2218.00,2237.40,2234.879344262295081967,109800,7778,245389752.00,55908,50.92,32.50,19.40
24-May-2022,2165.00,2225.45,2159.65,2207.55,2202.863036408850347510,47049,4063,103642503.00,14683,31.21,65.80,42.55
23-May-2022,2206.30,2220.00,2165.65,2172.20,2197.944968515231820281,82262,6306,180807349.00,32389,39.37,54.35,-34.10
20-May-2022,2158.00,2211.00,2152.75,2203.15,2190.609787881590341592,118943,8399,260557700.00,48407,40.70,58.25,45.15
19-May-2022,2127.60,2159.40,2123.00,2136.35,2138.409518552296836749,83332,9304,178197942.00,28977,34.77,36.40,8.75
18-May-2022,2202.00,2217.90,2178.25,2184.85,2200.352496099843993759,51280,6054,112834076.00,18260,35.61,39.65,-17.15
17-May-2022,2191.00,2196.95,2160.15,2191.00,2175.344669301971130492,224389,11993,488123415.00,132981,59.26,36.80,0.00
16-May-2022,2133.00,2182.00,2131.50,2172.50,2162.540950219661924296,34371,3004,74328695.00,8642,25.14,50.50,39.50
13-May-2022,2174.70,2190.55,2126.00,2132.55,2162.908153075523056356,124174,10756,268576957.00,59392,47.83,64.55,-42.15
12-May-2022,2183.00,2203.00,2144.00,2150.45,2175.470044948630136986,186880,16204,406551842.00,118221,63.26,59.00,-32.55
11-May-2022,2229.95,2237.25,2187.40,2220.75,2204.028691744924971201,131083,6915,288910693.00,87569,66.80,49.85,-9.20
10-May-2022,2165.00,2221.00,2163.50,2200.40,2198.779795825826929911,81597,7655,179413835.00,34560,42.35,57.50,35.40
9-May-2022,2119.80,2180.00,2114.00,2169.95,2147.754369136269931423,118845,12187,255249868.00,56781,47.78,66.00,50.15
6-May-2022,2178.00,2190.00,2143.00,2151.35,2161.347367674827766213,155167,10091,335369787.00,117013,75.41,47.00,-26.65
5-May-2022,2229.15,2251.90,2207.00,2214.30,2230.141382171281074270,65086,5292,145150982.00,26669,40.98,44.90,-14.85
4-May-2022,2275.00,2277.90,2192.50,2206.15,2262.604016458071725100,1951869,8591,4416306639.00,1904249,97.56,85.40,-68.85
2-May-2022,2194.70,2269.75,2190.65,2262.70,2248.136124245967282998,96647,7883,217275612.00,39955,41.34,79.10,68.00
29-April-2022,2232.50,2283.30,2215.85,2228.15,2248.492498220482249310,179824,13176,404332915.00,87667,48.75,67.45,-4.35
28-April-2022,2238.00,2238.00,2206.35,2224.45,2224.916102864451849607,59418,4396,132200065.00,32290,54.34,31.65,-13.55
27-April-2022,2211.00,2237.45,2205.20,2218.20,2222.019293995500951721,104022,9523,231138891.00,50061,48.13,32.25,7.20
26-April-2022,2228.50,2238.85,2205.50,2230.30,2223.959557911616933646,173359,12053,385543405.00,98476,56.80,33.35,1.80
25-April-2022,2187.50,2221.00,2156.30,2212.55,2193.966610845295055821,125400,6520,275123413.00,76967,61.38,64.70,25.05
22-April-2022,2189.00,2242.00,2186.00,2206.40,2217.226267527790716267,143843,11935,318932478.00,51250,35.63,56.00,17.40
21-April-2022,2200.00,2246.95,2181.90,2230.75,2212.117311970517516460,178004,15112,393765730.00,67343,37.83,65.05,30.75
20-April-2022,2157.00,2188.40,2145.00,2181.70,2167.164086091823584851,103982,8753,225346056.00,39239,37.74,43.40,24.70
19-April-2022,2272.00,2272.00,2113.00,2138.65,2160.848078382594763249,948680,24129,2049953355.00,684148,72.12,159.00,-133.35
18-April-2022,2324.00,2329.00,2257.85,2263.05,2285.223460594817784692,133688,11748,305506954.00,64696,48.39,71.15,-60.95
13-April-2022,2449.00,2449.00,2371.65,2377.40,2396.593313482341411933,132655,13963,317920086.00,55385,41.75,77.35,-71.60
12-April-2022,2413.00,2443.95,2399.10,2426.15,2423.190268042524626504,64057,4955,155222299.00,16703,26.08,44.85,13.15
11-April-2022,2449.00,2453.70,2420.30,2423.85,2437.032904590584129827,64763,4482,157829562.00,25004,38.61,33.40,-25.15
8-April-2022,2495.00,2495.00,2428.00,2458.10,2452.405040281860819999,133683,8784,327844863.00,31814,23.80,67.00,-36.90
7-April-2022,2515.00,2515.00,2458.30,2462.65,2477.342023110614108657,214620,17822,531687145.00,70579,32.89,56.70,-52.35
6-April-2022,2600.00,2603.90,2530.00,2536.50,2560.393440867616578329,130749,10175,334768882.00,48167,36.84,73.90,-63.50
5-April-2022,2687.70,2687.70,2614.40,2622.00,2638.897069463136849147,128543,10577,339211746.00,36875,28.69,73.30,-65.70
4-April-2022,2550.00,2855.35,2550.00,2678.90,2710.552209576168156411,1046264,66946,2835953197.00,278244,26.59,305.35,128.90
1-April-2022,2365.85,2464.90,2351.40,2450.95,2418.408112079945135691,51035,4981,123423458.00,12792,25.07,113.50,85.10
31-March-2022,2383.00,2440.65,2380.20,2388.65,2408.692489265913543707,191912,10765,462256993.00,72320,37.68,60.45,5.65
30-March-2022,2360.35,2388.00,2348.05,2385.90,2376.100127919813552490,57067,4580,135596906.00,25410,44.53,39.95,25.55
29-March-2022,2275.00,2344.00,2275.00,2337.20,2317.034076209483682596,81171,5112,188075973.00,45932,56.59,69.00,62.20
28-March-2022,2313.90,2313.90,2234.75,2267.75,2258.930795786648301680,113259,12935,255844243.00,50692,44.76,79.15,-46.15
25-March-2022,2330.00,2334.00,2286.95,2304.20,2299.542175423401711493,212446,14470,488528537.00,160742,75.66,47.05,-25.80
24-March-2022,2321.00,2356.30,2304.95,2310.90,2326.892049180327868852,61000,6727,141940415.00,25185,41.29,51.35,-10.10
23-March-2022,2407.00,2422.30,2341.00,2346.20,2367.489027718470935521,107726,10287,255040123.00,38117,35.38,81.30,-60.80
22-March-2022,2396.45,2420.00,2356.00,2402.80,2383.260427408735384176,63031,6103,150219288.00,19853,31.50,64.00,6.35
21-March-2022,2440.20,2450.00,2383.30,2391.25,2405.100002497253021676,80088,8460,192619649.00,32316,40.35,66.70,-48.95
17-March-2022,2334.00,2423.85,2334.00,2416.50,2392.862898737643660391,113201,9699,270874473.00,33076,29.22,89.85,82.50
16-March-2022,2289.00,2320.00,2277.00,2288.30,2289.233590029442872252,874575,7486,2002106467.00,529807,60.58,43.00,-0.70
15-March-2022,2276.60,2307.75,2231.00,2238.90,2280.210456031105438287,135539,16053,309057445.00,79895,58.95,76.75,-37.70
14-March-2022,2238.00,2285.00,2218.00,2276.60,2254.247365938040572417,89026,9599,200686626.00,39618,44.50,67.00,38.60
11-March-2022,2208.00,2259.30,2190.00,2232.05,2236.401534839297216854,90042,7395,201370067.00,44730,49.68,69.30,24.05
10-March-2022,2299.00,2299.00,2206.85,2238.90,2248.075465219171388195,75717,6611,170217530.00,41012,54.16,92.15,-60.10
9-March-2022,2174.00,2215.85,2122.00,2194.35,2175.597041700747135522,145489,16119,316525438.00,73429,50.47,93.85,20.35
8-March-2022,2117.70,2160.80,2046.30,2151.70,2087.405378742205714333,237193,15938,495117944.00,150711,63.54,114.50,34.00
7-March-2022,2160.00,2160.00,2098.20,2120.65,2126.755343754660448216,368795,35520,784336737.00,223321,60.55,61.80,-39.35
4-March-2022,2255.00,2262.00,2203.30,2219.85,2231.201195665597855669,218623,19421,487791899.00,156747,71.70,58.70,-35.15
3-March-2022,2284.00,2306.75,2263.80,2274.85,2286.927557256909671199,106843,5056,244342201.00,75489,70.65,42.95,-9.15
2-March-2022,2334.15,2334.15,2260.00,2277.45,2294.929224488702091642,223891,25701,513813999.00,130559,58.31,74.15,-56.70
28-February-2022,2370.60,2402.60,2337.05,2365.00,2376.712568726059879615,153508,13996,364844393.00,,,65.55,-5.60
25-February-2022,2367.00,2417.00,2367.00,2402.60,2403.756693846557805170,140913,7805,338720567.00,103058,73.14,50.00,35.60
24-February-2022,2350.00,2400.40,2331.20,2341.85,2374.948666888926933439,221962,21730,527148356.00,132757,59.81,69.20,-8.15
23-February-2022,2472.00,2477.75,2428.40,2437.50,2462.143987524546609680,51942,5861,127888683.00,24369,46.92,49.35,-34.50
22-February-2022,2380.00,2461.00,2373.25,2454.05,2436.577850201411796807,7183045,9801,17502048344.00,7140887,99.41,87.75,74.05
21-February-2022,2435.00,2447.00,2409.55,2438.95,2436.214881312621881514,89226,6172,217373709.00,54159,60.70,37.45,3.95
18-February-2022,2401.00,2450.50,2401.00,2440.85,2435.120006878592836436,40706,4231,99123995.00,13235,32.51,49.50,39.85
17-February-2022,2384.00,2426.00,2362.00,2410.60,2405.140133802490856058,86396,8982,207794487.00,38926,45.06,64.00,26.60
16-February-2022,2341.05,2404.00,2341.05,2370.00,2374.343820001445191126,110712,8872,262868353.00,47526,42.93,62.95,28.95
15-February-2022,2319.00,2345.00,2286.45,2339.90,2313.736479518762532225,209460,19866,484635243.00,106611,50.90,58.55,20.90
14-February-2022,2382.00,2390.00,2291.00,2297.25,2325.160631066603261629,178745,29918,415610837.00,109869,61.47,99.00,-84.75
11-February-2022,2450.00,2452.50,2418.00,2426.60,2430.772095838587641866,99125,6984,240950284.00,76489,77.16,34.50,-23.40
10-February-2022,2460.00,2505.70,2441.50,2476.40,2479.454576360820458580,105892,12418,262554404.00,42725,40.35,64.20,16.40
