Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,249.40,249.40,245.00,247.45,246.637916952530301545,30609,1919,7549340.00,14545,47.52,4.40,-1.95
30-June-2022,255.90,255.90,248.50,249.40,251.930450466303008974,45464,1931,11453766.00,22886,50.34,7.40,-6.50
29-June-2022,251.00,256.80,248.40,253.65,253.541093917194830850,48596,2190,12321083.00,19901,40.95,8.40,2.65
28-June-2022,246.75,252.45,246.15,251.25,249.357609099045997336,45807,2294,11422324.00,18896,41.25,6.30,4.50
27-June-2022,248.20,252.00,245.45,246.10,248.937308042795909413,59258,2710,14751527.00,34305,57.89,6.55,-2.10
24-June-2022,250.15,256.70,245.25,246.60,250.411702750146284376,34180,2106,8559072.00,13432,39.30,11.45,-3.55
23-June-2022,249.60,252.20,246.00,250.15,249.786393147201856377,40509,2236,10118597.00,15840,39.10,6.20,0.55
22-June-2022,267.90,267.90,245.40,247.80,252.123034090572520214,33763,2019,8512430.00,20222,59.89,22.50,-20.10
21-June-2022,258.00,267.00,258.00,263.50,262.522559709241952232,38520,2770,10112369.00,11737,30.47,9.00,5.50
20-June-2022,264.25,268.30,254.00,256.95,257.299276985091816494,78145,4184,20106652.00,41799,53.49,14.30,-7.30
17-June-2022,274.00,275.50,263.00,267.05,270.833646204868281083,31962,1962,8656385.00,15301,47.87,12.50,-6.95
16-June-2022,285.00,290.75,270.25,274.85,279.891067155199221232,73963,3841,20701583.00,29063,39.29,20.50,-10.15
15-June-2022,280.85,285.70,278.75,281.30,283.229845251466367153,32052,1983,9078083.00,7354,22.94,6.95,0.45
14-June-2022,275.00,281.75,271.20,275.00,275.101024092281841095,44039,2751,12115174.00,20066,45.56,10.55,0.00
13-June-2022,286.40,288.20,276.35,280.45,282.218480904489581279,60852,3672,17173559.00,31033,51.00,11.85,-5.95
