Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,556.00,580.65,556.00,578.50,569.422680113603431287,69012,1828,39296998.00,13318,19.30,24.65,22.50
30-June-2022,576.30,582.00,556.30,563.20,567.632786157941437444,112700,3029,63972215.00,13558,12.03,25.70,-13.10
29-June-2022,575.00,581.00,568.60,576.00,576.364180671016065741,83843,2657,48324102.00,19231,22.94,12.40,1.00
28-June-2022,571.10,580.50,568.00,578.45,575.581656972383793603,120002,3153,69070950.00,26943,22.45,12.50,7.35
27-June-2022,578.00,588.60,570.40,571.75,581.410904068399469525,163627,4006,95134522.00,17501,10.70,18.20,-6.25
24-June-2022,562.00,572.65,560.25,567.40,567.372939914605721829,96962,3290,55013615.00,19930,20.55,12.40,5.40
23-June-2022,547.05,565.45,547.05,558.80,556.544482477326892624,125038,3061,69589209.00,19358,15.48,18.40,11.75
22-June-2022,570.00,570.00,542.60,550.30,552.468497276778346261,145416,3465,80337759.00,23800,16.37,27.40,-19.70
21-June-2022,548.05,580.35,548.05,576.15,569.900603056130609079,144431,5422,82311314.00,51999,36.00,32.30,28.10
20-June-2022,553.00,553.00,536.30,550.45,544.135807930249703497,155985,3891,84877024.00,18367,11.77,16.70,-2.55
17-June-2022,541.95,561.50,540.00,554.35,553.297120952613979283,171654,4746,94975664.00,39494,23.01,21.50,12.40
16-June-2022,572.00,572.60,544.35,545.60,556.557658048705497228,221166,8272,123091631.00,95703,43.27,28.25,-26.40
15-June-2022,561.70,568.55,557.10,563.15,562.771075329403606102,92288,2098,51937017.00,25159,27.26,11.45,1.45
14-June-2022,559.00,576.50,559.00,561.70,567.393753675389591296,108832,3499,61750597.00,21149,19.43,17.50,2.70
13-June-2022,564.00,567.95,555.50,564.15,562.599286686031547597,135985,2931,76505064.00,27979,20.58,12.45,0.15
10-June-2022,565.00,573.95,561.25,572.30,568.828203570752885180,100427,3090,57125710.00,26214,26.10,12.70,7.30
9-June-2022,568.00,575.50,564.20,572.35,570.225769158749155329,122829,2595,70040261.00,18487,15.05,11.30,4.35
8-June-2022,575.60,583.00,572.25,575.90,577.355939140834351276,156361,2878,90275952.00,60205,38.50,10.75,0.30
7-June-2022,576.10,579.20,567.35,571.80,572.457316384180790960,106200,2177,60794967.00,13515,12.73,11.85,-4.30
6-June-2022,558.20,583.00,554.35,578.55,572.613623818328501781,259061,6719,148341858.00,91287,35.24,28.65,20.35
3-June-2022,578.00,581.95,560.00,562.45,569.062414459125852210,156358,2992,88977461.00,21559,13.79,21.95,-15.55
2-June-2022,573.90,575.00,557.65,573.15,566.912691911317813069,264901,6147,150175739.00,65534,24.74,17.35,-0.75
1-June-2022,553.00,572.00,549.35,569.95,564.130059908691354814,446179,9762,251702986.00,131399,29.45,22.65,16.95
31-May-2022,536.80,558.00,533.00,551.30,548.610000567054153671,440875,5630,241868434.00,61801,14.02,25.00,14.50
30-May-2022,530.00,544.80,525.75,538.65,536.870189035304116712,555346,9785,298148712.00,58896,10.61,19.05,8.65
27-May-2022,561.80,561.80,539.45,548.65,548.982147492437847316,188769,3655,103630811.00,26761,14.18,22.35,-13.15
26-May-2022,532.55,555.75,520.10,551.65,539.473883508152537965,253786,5086,136910919.00,30225,11.91,35.65,19.10
25-May-2022,543.85,545.15,521.25,528.30,532.430426819115280013,126119,3623,67149593.00,27138,21.52,23.90,-15.55
24-May-2022,547.00,556.25,538.00,539.55,549.073896845580689778,268956,9184,147676719.00,59396,22.08,18.25,-7.45
23-May-2022,602.60,602.60,538.00,547.60,555.437063988161617963,515611,14410,286389460.00,159535,30.94,64.60,-55.00
20-May-2022,620.00,634.00,618.55,630.85,627.704468105036375558,128108,3322,80413964.00,15348,11.98,15.45,10.85
19-May-2022,612.50,622.00,592.30,599.95,604.430043682441532281,170778,6140,103223354.00,42292,24.76,29.70,-12.55
18-May-2022,647.50,647.50,628.05,631.35,635.840441379897422801,93978,3311,59755013.00,14222,15.13,19.45,-16.15
17-May-2022,607.60,645.65,607.60,642.00,627.615824467414279300,396462,7679,248825825.00,256899,64.80,38.05,34.40
16-May-2022,611.50,626.50,599.00,601.70,612.378064446232897913,129224,3214,79133943.00,19746,15.28,27.50,-9.80
13-May-2022,634.30,636.75,594.45,599.85,623.479068810786079174,238233,5318,148533289.00,112795,47.35,42.30,-34.45
12-May-2022,645.50,651.50,620.00,624.65,631.811249771399211000,344487,5801,217650762.00,225950,65.59,31.50,-20.85
11-May-2022,643.00,658.00,635.50,649.00,644.811707870153557960,202855,4321,130803279.00,77552,38.23,22.50,6.00
10-May-2022,673.55,677.00,643.25,645.40,666.948478839922873556,402456,7240,268417417.00,288925,71.79,33.75,-28.15
9-May-2022,675.50,686.60,668.00,679.00,673.788584947134376413,316179,3793,213037801.00,54035,17.09,18.60,3.50
6-May-2022,688.90,700.00,680.50,690.65,686.916977750440112838,188588,3770,129544299.00,98062,52.00,19.50,1.75
5-May-2022,723.30,726.00,705.00,707.60,718.057857344499858850,212540,1522,152616017.00,160546,75.54,21.00,-15.70
4-May-2022,732.00,736.05,708.25,711.25,731.091078201053978399,1177823,2864,861095887.00,1109353,94.19,27.80,-20.75
2-May-2022,721.00,734.00,709.50,731.90,722.963667715392061955,66112,2211,47796574.00,9142,13.83,24.50,10.90
29-April-2022,729.00,739.95,723.05,726.85,732.372645460954671753,120565,3138,88298508.00,52898,43.88,16.90,-2.15
28-April-2022,731.00,734.15,722.85,729.30,728.876522742016867296,166476,4110,121340448.00,88787,53.33,11.30,-1.70
27-April-2022,715.00,733.90,711.00,720.95,720.421197610956647101,77688,1676,55968082.00,11704,15.07,22.90,5.95
26-April-2022,722.00,724.15,713.50,721.10,718.893200951338291366,79467,1946,57128286.00,12650,15.92,10.65,-0.90
25-April-2022,717.50,718.90,695.30,715.50,705.399287409741891730,401072,7342,282915903.00,41448,10.33,23.60,-2.00
22-April-2022,727.00,737.25,722.05,723.65,729.161309068664933476,65390,1714,47679858.00,13397,20.49,15.20,-3.35
21-April-2022,739.00,746.50,726.00,734.20,732.922018238971159477,167334,4870,122642773.00,61693,36.87,20.50,-4.80
20-April-2022,760.90,760.90,732.70,738.95,746.532247683764649533,133622,3378,99753132.00,28175,21.09,28.20,-21.95
19-April-2022,774.00,789.95,734.65,746.25,773.588409136102140031,291678,8869,225638720.00,79603,27.29,55.30,-27.75
18-April-2022,767.00,775.50,758.10,767.95,767.714078181856277806,143179,3514,109920534.00,22795,15.92,17.40,0.95
13-April-2022,756.20,781.25,756.20,766.20,769.258132590085606211,200920,4880,154559344.00,78116,38.88,25.05,10.00
12-April-2022,770.00,774.20,738.30,755.75,750.845532232790350205,219528,4597,164831618.00,40319,18.37,35.90,-14.25
11-April-2022,758.85,775.00,756.45,767.25,767.352410017179490760,143194,4158,109880261.00,26853,18.75,18.55,8.40
8-April-2022,730.10,762.00,730.10,756.45,750.279418233280422268,313734,8674,235388163.00,147519,47.02,31.90,26.35
7-April-2022,737.50,742.45,726.05,728.15,733.816268507920097478,108332,3952,79495784.00,35437,32.71,16.40,-9.35
6-April-2022,734.90,746.30,730.60,737.50,739.479705413281452225,119761,2765,88560829.00,32490,27.13,15.70,2.60
5-April-2022,737.90,745.65,730.20,733.25,737.040439681821319812,130367,4464,96085751.00,56431,43.29,15.45,-4.65
4-April-2022,734.90,737.60,726.95,732.85,733.394113944433059109,136628,3237,100202171.00,25044,18.33,10.65,-2.05
1-April-2022,736.70,750.00,728.60,731.60,737.787380000201468706,99271,2711,73240891.00,15918,16.03,21.40,-5.10
31-March-2022,721.00,737.35,721.00,732.60,730.151346640216874040,187021,5225,136553635.00,83201,44.49,16.35,11.60
30-March-2022,748.10,750.75,715.00,718.40,730.589652663788344623,273539,8103,199844763.00,87964,32.16,35.75,-29.70
29-March-2022,732.00,764.50,726.55,754.00,746.242285573663872784,341341,9410,254723088.00,152205,44.59,37.95,22.00
28-March-2022,726.00,731.25,718.50,730.15,725.895293856187111557,130489,3218,94721351.00,32148,24.64,12.75,4.15
25-March-2022,716.00,726.20,710.25,721.20,719.967779775477986318,273648,7917,197017743.00,115224,42.11,15.95,5.20
24-March-2022,704.00,719.60,703.95,715.10,714.040221167741075912,195146,3618,139342093.00,43272,22.17,15.65,11.10
23-March-2022,705.00,710.00,692.50,704.20,702.913235227508409240,419479,8413,294857341.00,126032,30.04,17.50,-0.80
22-March-2022,679.00,699.80,677.55,696.50,689.361959214240451638,138872,3169,95733074.00,28301,20.38,22.25,17.50
21-March-2022,689.90,698.85,679.15,680.90,690.169102210513316593,242930,6744,167662780.00,83336,34.30,19.70,-9.00
17-March-2022,659.95,692.95,659.95,685.40,682.278238067008337795,418336,11945,285421549.00,193519,46.26,33.00,25.45
