Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,1650.00,1678.90,1637.00,1669.95,1655.956655145658460887,28354,2254,46952995.00,10410,36.71,41.90,19.95
30-June-2022,1630.00,1676.70,1630.00,1660.80,1662.821475477503846298,106596,6039,177250118.00,59366,55.69,46.70,30.80
29-June-2022,1643.50,1658.65,1636.60,1642.25,1649.549451678352209980,77874,3816,128457014.00,52881,67.91,22.05,-1.25
28-June-2022,1680.50,1692.75,1665.00,1668.50,1671.285958236926791959,207887,6454,347438624.00,184355,88.68,27.75,-12.00
27-June-2022,1728.00,1728.00,1685.05,1690.80,1694.158116105658879142,161198,8146,273094900.00,125427,77.81,42.95,-37.20
24-June-2022,1693.00,1715.00,1690.40,1697.75,1700.611929783928278470,103623,5964,176222510.00,62599,60.41,24.60,4.75
23-June-2022,1677.00,1694.85,1649.60,1686.35,1678.747646453481724282,104948,6467,176181208.00,67589,64.40,45.25,9.35
22-June-2022,1649.00,1675.50,1649.00,1670.50,1664.659463184492781792,169779,8610,282624219.00,136324,80.29,26.50,21.50
21-June-2022,1692.00,1708.00,1673.50,1681.45,1694.735572933692071714,159076,5057,269591756.00,127895,80.40,34.50,-10.55
20-June-2022,1674.00,1688.00,1652.05,1679.05,1672.591264853070227450,84326,4580,141042931.00,49280,58.44,35.95,5.05
17-June-2022,1665.00,1681.10,1649.55,1674.45,1669.622386604087390391,229682,10577,383482209.00,184392,80.28,31.55,9.45
16-June-2022,1748.00,1753.00,1670.00,1675.15,1690.676756545339707557,378399,9908,639750394.00,327721,86.61,83.00,-72.85
15-June-2022,1735.70,1750.55,1728.60,1736.50,1735.982790332595274077,85359,3886,148181755.00,63451,74.33,21.95,0.80
14-June-2022,1738.00,1748.20,1721.95,1737.30,1741.150353085810258122,206607,7105,359733851.00,180361,87.30,26.25,-0.70
13-June-2022,1740.00,1751.15,1718.80,1737.30,1734.623489232403456006,161921,13333,280871970.00,109123,67.39,32.35,-2.70
10-June-2022,1848.00,1848.00,1785.10,1792.10,1803.676151927452256804,155153,9247,279845766.00,104425,67.30,62.90,-55.90
9-June-2022,1840.90,1872.05,1828.35,1865.90,1853.161719188372219306,110494,5553,204763251.00,84884,76.82,43.70,25.00
8-June-2022,1871.00,1880.40,1839.25,1845.80,1865.140534902485584397,152439,5273,284320158.00,123487,81.01,41.15,-25.20
7-June-2022,1854.95,1862.00,1832.05,1857.80,1853.453647680645385631,215685,5939,399762150.00,178129,82.59,29.95,2.85
6-June-2022,1839.00,1876.45,1839.00,1870.65,1868.641579039979612763,164809,3941,307968950.00,125721,76.28,37.45,31.65
3-June-2022,1887.00,1887.00,1851.35,1858.15,1865.827312355369677027,130073,4006,242693756.00,98161,75.47,35.65,-28.85
2-June-2022,1852.95,1878.50,1847.15,1857.95,1865.792200162886019840,149798,6271,279491940.00,105679,70.55,31.35,5.00
1-June-2022,1839.00,1874.05,1835.75,1867.05,1852.800990770218443752,417453,7092,773457332.00,345214,82.70,38.30,28.05
31-May-2022,1890.00,1895.85,1829.15,1854.20,1877.381261308972152345,181272,7590,340316656.00,114602,63.22,66.70,-35.80
30-May-2022,1945.00,1951.00,1895.65,1902.80,1928.182259854140408708,92829,7661,178991231.00,42217,45.48,55.35,-42.20
27-May-2022,1920.00,1950.00,1912.60,1946.25,1938.483785035904563354,77706,6452,150631821.00,41527,53.44,37.40,26.25
26-May-2022,1918.00,1922.05,1884.05,1908.70,1901.168871561478774828,183909,9171,349642066.00,117381,63.83,38.00,-9.30
