Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,1090.10,1112.20,1064.75,1108.40,1090.004633676474332317,117833,6123,128438516.00,34833,29.56,47.45,18.30
30-June-2022,1113.90,1117.00,1088.60,1095.05,1102.974579803784371231,134342,5060,148175811.00,65642,48.86,28.40,-18.85
29-June-2022,1109.90,1115.60,1091.00,1111.00,1103.663286606612393018,124554,5406,137465677.00,38187,30.66,24.60,1.10
28-June-2022,1084.00,1121.00,1079.70,1112.15,1108.938433875297573823,236916,8646,262725258.00,62654,26.45,41.30,28.15
27-June-2022,1090.00,1094.90,1072.10,1082.05,1082.335401291107976659,170861,7300,184928909.00,55835,32.68,22.80,-7.95
24-June-2022,1039.90,1074.45,1031.75,1072.05,1057.825442230694657583,230027,11088,243328413.00,89110,38.74,42.70,32.15
23-June-2022,986.00,1031.50,986.00,1028.05,1013.134296060766649001,249084,9281,252355543.00,158951,63.81,45.50,42.05
22-June-2022,997.40,1003.80,972.90,984.65,984.936606257455339819,69581,3439,68532874.00,22280,32.02,30.90,-12.75
21-June-2022,982.50,1004.00,982.50,998.05,997.115169880243249413,48181,2456,48042006.00,8964,18.60,21.50,15.55
20-June-2022,995.85,1009.50,979.10,982.50,988.000464983725569605,66669,5698,65869003.00,26698,40.05,30.40,-13.35
17-June-2022,1000.00,1007.60,983.30,997.85,995.976797009322207675,63397,5965,63141941.00,16647,26.26,24.30,-2.15
16-June-2022,1035.00,1035.00,997.60,1005.15,1016.192980171648416691,84475,4700,85842902.00,31448,37.23,37.40,-29.85
15-June-2022,1020.15,1038.95,1020.15,1025.60,1031.690020781764993977,75547,2841,77941086.00,40136,53.13,18.80,5.45
14-June-2022,1003.00,1024.85,1000.25,1018.80,1016.726514527702623220,85010,4961,86431921.00,32450,38.17,24.60,15.80
13-June-2022,1022.20,1028.70,998.80,1004.90,1012.655873075451677866,138539,7893,140292332.00,59935,43.26,29.90,-17.30
10-June-2022,1038.10,1043.00,1026.40,1037.45,1036.512696384274223859,66515,4399,68943642.00,43714,65.72,16.60,-0.65
9-June-2022,1031.00,1049.00,1031.00,1045.15,1044.787929966100871171,82303,3475,85989181.00,55439,67.36,18.00,14.15
8-June-2022,1056.00,1056.35,1034.80,1045.30,1044.517353092473212428,91367,4001,95434417.00,39029,42.72,21.55,-10.70
7-June-2022,1030.00,1045.05,1018.70,1041.60,1032.398459245708518305,126821,4801,130929805.00,42291,33.35,26.35,11.60
6-June-2022,1033.00,1048.00,1018.60,1036.45,1032.078945703475939212,79029,4104,81564167.00,18254,23.10,29.40,3.45
3-June-2022,1054.90,1056.05,1026.00,1028.60,1038.257364019888503842,53096,2376,55127313.00,13013,24.51,30.05,-26.30
2-June-2022,1042.00,1057.75,1034.70,1044.20,1048.096715296119688724,112826,5373,118252560.00,41659,36.92,23.05,2.20
1-June-2022,1039.80,1056.60,1014.70,1047.50,1034.538454598233198914,254924,8129,263728681.00,82705,32.44,41.90,7.70
31-May-2022,999.90,1043.15,993.60,1033.90,1030.335073124205171682,301952,11629,311111736.00,94068,31.15,49.55,34.00
30-May-2022,976.00,1011.45,957.55,997.90,992.122703804673000898,459619,18800,455998445.00,232584,50.60,53.90,21.90
27-May-2022,945.60,957.95,922.65,953.20,938.997040772418791095,132467,5352,124386121.00,33758,25.48,35.30,7.60
26-May-2022,930.00,933.10,914.85,928.45,922.850844361270774851,44886,2540,41423083.00,14530,32.37,18.25,-1.55
25-May-2022,949.50,952.70,923.70,928.20,935.379252731412471948,61049,2241,57103968.00,27719,45.40,29.00,-21.30
24-May-2022,946.55,960.40,943.05,946.75,952.127284426510472731,166289,7380,158328294.00,62956,37.86,17.35,0.20
23-May-2022,905.10,943.40,905.10,942.05,932.965697869668696248,273948,11695,255584087.00,142458,52.00,38.30,36.95
20-May-2022,895.00,911.35,888.80,904.60,904.335274507761225127,95990,4408,86807143.00,52602,54.80,22.55,9.60
19-May-2022,900.00,913.00,880.05,882.55,898.092533884677234091,65295,2263,58640952.00,20522,31.43,32.95,-17.45
18-May-2022,910.60,922.60,905.20,912.65,914.107136674327672148,167515,4174,153126657.00,120398,71.87,17.40,2.05
17-May-2022,907.50,916.70,898.70,910.15,903.596219129254010014,235660,6662,212941485.00,165412,70.19,18.00,2.65
16-May-2022,899.00,908.85,892.95,902.90,902.067006126506268511,49294,1909,44466491.00,11583,23.50,15.90,3.90
13-May-2022,875.00,904.50,870.20,888.95,894.893592271144447717,132387,3090,118472278.00,84771,64.03,34.30,13.95
12-May-2022,888.00,888.00,854.45,864.90,861.628115132694867044,76642,4056,66036902.00,15440,20.15,33.55,-23.10
11-May-2022,893.00,898.55,876.10,886.60,885.330775913982448962,217537,5059,192592201.00,153289,70.47,22.45,-6.40
10-May-2022,890.00,910.75,884.50,887.45,895.193078767073330837,205657,7297,184102723.00,168629,82.00,26.25,-2.55
9-May-2022,876.10,901.35,874.90,895.35,885.138008445133358276,74836,4197,66240188.00,32438,43.35,26.45,19.25
6-May-2022,890.00,914.30,888.60,894.50,902.123321396598030438,102764,4312,92705801.00,15181,14.77,25.70,4.50
5-May-2022,907.10,920.40,896.30,898.40,912.553773179829858036,149052,4642,136017965.00,117754,79.00,24.10,-8.70
4-May-2022,916.60,924.00,891.75,896.15,920.073912477678410052,1106552,3422,1018109628.00,1077164,97.34,32.25,-20.45
2-May-2022,916.80,933.10,910.80,921.05,920.877837076788123161,271318,16031,249850733.00,212026,78.15,22.30,4.25
29-April-2022,929.90,939.00,918.05,922.00,933.519894568600510332,106989,3275,99876360.00,78738,73.59,20.95,-7.90
28-April-2022,937.75,940.10,918.30,922.40,925.041588537910476465,83196,3298,76959760.00,47937,57.62,21.80,-15.35
27-April-2022,925.70,940.40,922.85,926.70,929.981318159382363075,107377,4871,99858604.00,74367,69.26,17.55,1.00
26-April-2022,915.00,942.90,908.00,940.40,936.376881323162567433,179993,7504,168541284.00,64458,35.81,34.90,25.40
25-April-2022,919.00,927.75,895.05,903.25,919.803550605894046879,194671,5619,179059077.00,114646,58.89,32.70,-15.75
