Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,2090.20,2163.00,2083.00,2158.75,2130.562208491130157464,25085,3788,53445153.00,13545,54.00,80.00,68.55
30-June-2022,2100.00,2129.35,2080.10,2090.20,2107.013653483992467043,10620,1394,22376485.00,3360,31.64,49.25,-9.80
29-June-2022,2116.00,2139.25,2090.00,2097.75,2111.691762091950094001,11702,1588,24711017.00,2678,22.88,49.25,-18.25
28-June-2022,2140.00,2140.00,2101.05,2115.50,2116.911952391195239119,13947,1702,29524571.00,3823,27.41,38.95,-24.50
27-June-2022,2200.00,2200.00,2134.00,2142.95,2152.832107682206172028,15230,2033,32787633.00,5196,34.12,66.00,-57.05
24-June-2022,2150.00,2178.00,2136.45,2168.05,2161.957854681217690982,13928,1612,30111749.00,3232,23.20,41.55,18.05
23-June-2022,2100.00,2154.50,2087.05,2144.95,2128.755863229062206838,30913,3866,65806230.00,13057,42.24,67.45,44.95
22-June-2022,2110.00,2134.55,2075.00,2082.20,2101.389147789439559103,24677,3883,51855980.00,5733,23.23,59.55,-27.80
21-June-2022,2121.80,2121.80,2085.00,2100.90,2101.750619816083663901,88736,3303,186500943.00,9438,10.64,36.80,-20.90
20-June-2022,2020.00,2118.00,2009.80,2105.40,2072.484791304001169388,75253,8219,155960698.00,23538,31.28,108.20,85.40
17-June-2022,2080.00,2096.20,1988.60,1999.90,2021.478738411930673115,29772,6327,60183465.00,14207,47.72,107.60,-80.10
16-June-2022,2150.00,2150.00,2080.50,2096.50,2102.507385353027608073,12931,2209,27187523.00,5990,46.32,69.50,-53.50
15-June-2022,2130.00,2143.00,2104.60,2110.10,2118.764927633793335577,14855,3364,31474253.00,6781,45.65,38.40,-19.90
14-June-2022,2127.00,2147.95,2108.70,2120.25,2127.763205828779599271,8784,1628,18690272.00,3052,34.74,39.25,-6.75
13-June-2022,2060.00,2142.65,2060.00,2131.95,2120.436465571228342230,33533,5296,71104596.00,11942,35.61,82.65,71.95
10-June-2022,2096.00,2115.00,2070.90,2108.80,2096.012473523181925158,12747,1674,26717871.00,6340,49.74,44.10,12.80
9-June-2022,2090.00,2105.40,2064.20,2096.25,2076.753198008425890463,26110,6234,54224026.00,13612,52.13,41.20,6.25
8-June-2022,2158.95,2158.95,2094.40,2101.60,2112.832879163785740431,24587,6249,51948222.00,12795,52.04,64.55,-57.35
7-June-2022,2198.95,2198.95,2125.75,2135.90,2142.307311918850380388,23660,4180,50686991.00,14029,59.29,73.20,-63.05
6-June-2022,2219.00,2219.00,2146.00,2172.50,2165.505343986717858254,9637,1434,20868975.00,3229,33.51,73.00,-46.50
3-June-2022,2256.00,2256.00,2188.40,2195.35,2221.543454142011834319,10816,1479,24028214.00,5194,48.02,67.60,-60.65
2-June-2022,2215.00,2253.90,2191.05,2244.05,2222.120783030576554214,17726,2802,39389313.00,7818,44.10,62.85,29.05
1-June-2022,2240.00,2291.10,2195.00,2205.30,2233.998961058950284746,25988,4330,58057165.00,8679,33.40,96.10,-34.70
31-May-2022,2248.40,2262.40,2192.10,2246.50,2215.598433816099696867,11876,2528,26312447.00,4720,39.74,70.30,-1.90
30-May-2022,2189.80,2231.95,2174.85,2223.75,2214.269401473693282199,23207,3412,51386550.00,10798,46.53,57.10,33.95
27-May-2022,2152.00,2166.85,2139.75,2164.30,2155.680190174326465927,6310,1049,13602342.00,1928,30.55,27.10,12.30
26-May-2022,2150.05,2158.90,2104.55,2132.70,2126.110395222754773316,25454,3563,54118014.00,10275,40.37,54.35,-17.35
25-May-2022,2180.00,2181.65,2103.70,2139.40,2137.174436331541362432,24926,4643,53271210.00,8250,33.10,77.95,-40.60
24-May-2022,2197.70,2214.40,2158.00,2173.45,2190.031044157111490607,16396,3091,35907749.00,5621,34.28,56.40,-24.25
23-May-2022,2180.00,2228.75,2149.60,2189.10,2202.435388707162728134,32711,3321,72043864.00,8331,25.47,79.15,9.10
20-May-2022,2131.00,2148.25,2091.55,2138.90,2117.162223133716160787,39008,5583,82586264.00,12456,31.93,56.70,7.90
19-May-2022,2040.00,2126.60,2040.00,2118.15,2099.853161790273707217,60393,10675,126816432.00,19451,32.21,86.60,78.15
