Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,2580.00,2591.65,2365.00,2408.95,2433.035730175856200571,1078836,78025,2624846535.00,378853,35.12,226.65,-171.05
30-June-2022,2576.00,2615.80,2567.30,2594.05,2596.497528137162091090,209154,15613,543067844.00,84855,40.57,48.50,18.05
29-June-2022,2504.35,2596.85,2501.00,2579.05,2560.146452046486468765,305035,28326,780934273.00,112706,36.95,95.85,74.70
28-June-2022,2482.15,2535.00,2482.15,2529.00,2514.641353978211664826,127683,13180,321076952.00,37514,29.38,52.85,46.85
27-June-2022,2549.00,2549.00,2482.00,2491.95,2513.465851833374906460,180405,15735,453441807.00,59909,33.21,67.00,-57.05
24-June-2022,2490.00,2510.95,2468.25,2500.75,2491.739345522429034206,182130,14141,453820487.00,59086,32.44,42.70,10.75
23-June-2022,2520.00,2524.90,2446.00,2464.60,2475.861316223258122263,282095,38558,698428098.00,111461,39.51,78.90,-55.40
22-June-2022,2563.00,2563.00,2501.00,2505.20,2524.267547429716360904,191652,20228,483780924.00,61384,32.03,62.00,-57.80
21-June-2022,2552.40,2592.70,2529.00,2584.55,2562.531386105667911413,135235,12117,346543932.00,21106,15.61,63.70,32.15
20-June-2022,2607.00,2618.10,2521.10,2542.80,2553.351919088972404470,141291,13241,360765646.00,27879,19.73,97.00,-64.20
17-June-2022,2532.00,2624.45,2532.00,2589.30,2592.376796726457917937,259291,19057,672179972.00,58811,22.68,92.45,57.30
16-June-2022,2622.00,2658.60,2554.95,2559.20,2599.766710952861773927,282255,21527,733797153.00,58377,20.68,103.65,-62.80
15-June-2022,2610.00,2637.40,2585.10,2596.30,2613.289824419431570170,163116,11651,426269383.00,33178,20.34,52.30,-13.70
14-June-2022,2653.00,2670.15,2613.85,2627.35,2637.801247189248548867,152984,12611,403541386.00,29338,19.18,56.30,-25.65
13-June-2022,2653.80,2673.30,2616.40,2662.80,2645.712192942327946636,187994,14888,497378018.00,47072,25.04,56.90,9.00
10-June-2022,2774.35,2790.05,2701.60,2714.00,2739.222228076076692698,246751,20034,675905824.00,83966,34.03,88.45,-60.35
9-June-2022,2709.00,2802.00,2709.00,2798.60,2767.891892526656958992,298046,19174,824959107.00,139431,46.78,93.00,89.60
8-June-2022,2775.20,2782.10,2715.60,2724.30,2740.361491799595596495,186942,11639,512288658.00,70763,37.85,66.50,-50.90
7-June-2022,2764.00,2791.00,2754.00,2772.50,2773.105755753492788352,154819,10501,429329460.00,24738,15.98,37.00,8.50
6-June-2022,2780.60,2813.75,2751.55,2766.90,2776.821657182854428015,275733,18674,765661366.00,86101,31.23,62.20,-13.70
3-June-2022,2746.95,2816.35,2740.00,2779.50,2796.373976359278653301,636698,42914,1780445718.00,301515,47.36,76.35,32.55
2-June-2022,2645.00,2732.00,2635.65,2724.50,2707.461869466886378950,299786,20363,811659164.00,131636,43.91,96.35,79.50
1-June-2022,2632.35,2654.95,2616.10,2632.20,2637.588031099652869409,147783,11931,389790672.00,48704,32.96,38.85,-0.15
31-May-2022,2646.00,2678.75,2615.85,2633.90,2642.160322937073365825,590084,19983,1559096532.00,420270,71.22,62.90,-12.10
30-May-2022,2619.80,2673.00,2594.85,2663.75,2642.017257731645876961,263592,21125,696414613.00,146456,55.56,78.15,43.95
27-May-2022,2596.95,2605.55,2539.35,2575.20,2572.888646934566965876,199303,16761,512784426.00,65623,32.93,66.20,-21.75
26-May-2022,2618.00,2633.90,2547.70,2587.45,2588.918276786539706018,183889,15579,476073593.00,33138,18.02,86.20,-30.55
25-May-2022,2632.35,2655.80,2601.85,2611.15,2626.189392412208200620,248030,20206,651373755.00,108049,43.56,53.95,-21.20
24-May-2022,2624.00,2637.80,2598.00,2616.00,2621.289250836346433278,147965,13473,387859064.00,47949,32.41,39.80,-8.00
23-May-2022,2630.00,2653.75,2592.95,2605.95,2616.738810688854878460,278346,18465,728358781.00,88833,31.91,60.80,-24.05
20-May-2022,2515.00,2643.00,2503.00,2622.15,2576.949925506931643140,277207,21461,714348558.00,95269,34.37,140.00,107.15
19-May-2022,2470.00,2511.00,2466.45,2479.20,2490.200903578908074844,728658,25314,1814504810.00,596247,81.83,44.55,9.20
18-May-2022,2539.00,2570.00,2508.30,2538.80,2535.700588824267222838,276653,21897,701509175.00,74202,26.82,61.70,-0.20
17-May-2022,2443.00,2540.40,2435.00,2530.70,2498.048500779683671196,336675,31564,841030479.00,146058,43.38,105.40,87.70
16-May-2022,2432.00,2480.75,2416.45,2427.40,2447.590738435108241402,207222,21011,507194648.00,65528,31.62,64.30,-4.60
13-May-2022,2432.00,2478.00,2416.05,2428.05,2450.793087168530420249,290185,25989,711183392.00,79212,27.30,61.95,-3.95
12-May-2022,2419.00,2440.00,2370.00,2400.95,2399.472965748013693346,375949,39075,902079462.00,191869,51.04,70.00,-18.05
11-May-2022,2478.70,2485.05,2421.90,2449.75,2457.071583602477110432,269992,20980,663389671.00,115015,42.60,63.15,-28.95
10-May-2022,2499.00,2525.25,2459.00,2473.25,2496.905245043088348630,228368,18058,570213257.00,69367,30.38,66.25,-25.75
9-May-2022,2575.00,2597.20,2507.10,2517.15,2542.155895145591694379,394528,40031,1002951681.00,167673,42.50,90.10,-57.85
6-May-2022,2640.75,2659.55,2594.60,2621.15,2621.877340733977285469,249708,21561,654703747.00,75161,30.10,64.95,-19.60
5-May-2022,2721.00,2729.65,2632.00,2640.75,2682.979466390597131652,355466,24796,953707979.00,223846,62.97,97.65,-80.25
4-May-2022,2785.00,2785.15,2675.80,2693.15,2776.081497287186643835,3251053,25838,9025188080.00,3101978,95.41,109.35,-91.85
2-May-2022,2755.50,2805.00,2755.50,2780.55,2782.786315875546833476,244590,21118,680641705.00,115430,47.19,49.50,25.05
29-April-2022,2855.00,2855.00,2777.55,2790.80,2829.194887816801115672,202927,15802,574120031.00,108695,53.56,77.45,-64.20
28-April-2022,2815.00,2850.00,2786.30,2819.20,2823.773690276019723791,264655,21873,747325826.00,112398,42.47,63.70,4.20
27-April-2022,2759.70,2827.10,2757.00,2777.90,2797.914395418122046435,389360,33414,1089395949.00,153911,39.53,70.10,18.20
26-April-2022,2708.00,2795.65,2708.00,2775.70,2741.361123215923569522,240951,19918,660533704.00,93207,38.68,87.65,67.70
25-April-2022,2739.45,2758.35,2664.40,2694.85,2714.221142028651534354,208296,17003,565361407.00,74717,35.87,93.95,-44.60
22-April-2022,2765.05,2800.65,2743.85,2758.45,2771.474899339949725588,314673,25049,872108321.00,147553,46.89,56.80,-6.60
21-April-2022,2759.00,2788.80,2733.65,2782.15,2770.146107306789734385,280821,22285,777915200.00,102113,36.36,55.15,23.15
20-April-2022,2655.75,2733.65,2650.00,2718.40,2707.291800716777035197,458162,28401,1240378226.00,201414,43.96,83.65,62.65
19-April-2022,2554.10,2667.00,2551.10,2638.45,2634.192651545589808225,545067,41628,1435811486.00,298472,54.76,115.90,84.35
