Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,1080.40,1105.10,1078.00,1099.70,1088.248262457297679349,16978,1817,18476279.00,4924,29.00,27.10,19.30
30-June-2022,1062.00,1092.40,1060.00,1082.90,1078.805567203173886398,31003,3196,33446209.00,7772,25.07,32.40,20.90
29-June-2022,1076.20,1087.00,1052.50,1068.30,1067.945169438013049884,19004,1952,20295230.00,5955,31.34,34.50,-7.90
28-June-2022,1076.80,1086.00,1068.10,1078.85,1077.894122383252818035,9936,1102,10709956.00,2366,23.81,17.90,2.05
27-June-2022,1075.00,1096.75,1075.00,1083.60,1087.091993419248697559,14588,1280,15858498.00,2640,18.10,21.75,8.60
24-June-2022,1075.65,1092.35,1074.85,1078.30,1081.738436252641465132,8518,945,9214248.00,2379,27.93,17.50,2.65
23-June-2022,1079.75,1082.35,1060.25,1074.95,1073.171046168958742632,8144,988,8739905.00,1530,18.79,22.10,-4.80
22-June-2022,1096.70,1096.70,1062.80,1069.65,1069.573593186686869742,19139,1176,20470569.00,2758,14.41,33.90,-27.05
21-June-2022,1087.00,1098.35,1078.45,1096.10,1090.417456734386756960,13290,1536,14491648.00,4938,37.16,19.90,9.10
20-June-2022,1070.00,1092.00,1069.75,1075.95,1078.264564321743483115,51942,1504,56007218.00,40481,77.94,22.25,5.95
17-June-2022,1091.00,1111.65,1075.80,1080.35,1092.807744295141925737,25154,2706,27488486.00,7976,31.71,35.85,-10.65
16-June-2022,1128.10,1137.30,1099.60,1105.90,1108.918136734844933507,40531,2820,44945561.00,23883,58.93,37.70,-22.20
15-June-2022,1139.70,1143.95,1122.40,1125.05,1132.075445698044957368,11611,1134,13144528.00,3158,27.20,21.55,-14.65
14-June-2022,1130.00,1140.20,1127.95,1132.25,1133.513640469738030713,11070,1158,12547996.00,2158,19.49,12.25,2.25
13-June-2022,1125.55,1161.25,1125.55,1133.40,1142.989426545590247543,24117,1922,27565476.00,8213,34.05,35.70,7.85
10-June-2022,1165.00,1165.00,1152.05,1155.45,1158.767217970871389780,8102,811,9388332.00,2282,28.17,12.95,-9.55
9-June-2022,1137.00,1167.40,1131.35,1162.75,1153.273721736582507203,20477,1547,23615586.00,3347,16.35,36.05,25.75
8-June-2022,1140.00,1157.50,1129.30,1135.10,1142.928839701537382943,39938,2426,45646292.00,4720,11.82,28.20,-4.90
7-June-2022,1144.00,1144.00,1114.40,1134.85,1124.884349415785708608,12581,1230,14152170.00,2932,23.30,29.60,-9.15
6-June-2022,1145.00,1149.15,1134.60,1140.80,1142.397719740156436431,15086,1422,17234212.00,4338,28.76,14.55,-4.20
3-June-2022,1157.00,1161.60,1139.20,1141.10,1152.525648595144653214,28793,2220,33184671.00,8516,29.58,22.40,-15.90
2-June-2022,1155.15,1155.15,1121.60,1143.95,1132.688648009459992116,25370,1908,28736311.00,6741,26.57,33.55,-11.20
1-June-2022,1152.10,1175.00,1144.30,1151.65,1159.991647191205747424,23106,1750,26802767.00,5679,24.58,30.70,-0.45
31-May-2022,1160.00,1180.50,1140.00,1173.85,1162.766358912264769688,59463,4804,69141576.00,28218,47.45,40.50,13.85
30-May-2022,1112.00,1150.00,1112.00,1148.60,1139.449851071986788168,33909,2492,38637605.00,20021,59.04,38.00,36.60
27-May-2022,1106.45,1128.90,1105.35,1121.25,1119.825720722191387247,30629,2946,34299142.00,15164,49.51,23.55,14.80
26-May-2022,1095.55,1110.00,1073.90,1105.50,1099.737266029597017394,78589,7050,86427252.00,44472,56.59,36.10,9.95
25-May-2022,1077.65,1116.00,1077.65,1095.55,1108.469801729909951764,146366,5727,162242291.00,59264,40.49,38.35,17.90
24-May-2022,1066.00,1083.50,1058.25,1073.65,1070.339747912236111831,19279,1434,20635080.00,4570,23.70,25.25,7.65
23-May-2022,1051.10,1091.70,1051.10,1076.55,1081.700426122287186601,20182,1958,21830878.00,7588,37.60,40.60,25.45
20-May-2022,1065.80,1083.05,1060.85,1071.60,1072.505572942403777521,18213,1623,19533544.00,6051,33.22,22.20,5.80
19-May-2022,1054.50,1072.20,1047.25,1056.40,1060.450295402003596198,23358,2215,24769998.00,7412,31.73,24.95,1.90
18-May-2022,1055.00,1084.25,1055.00,1074.40,1074.610003782698518928,34367,5527,36931122.00,13243,38.53,29.25,19.40
