Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,2389.00,2423.80,2364.30,2407.50,2409.178615574783683559,3236,761,7796102.00,632,19.53,59.50,18.50
30-June-2022,2404.80,2425.00,2379.95,2400.00,2403.098496240601503759,7980,1667,19176726.00,1140,14.29,45.05,-4.80
29-June-2022,2361.55,2414.75,2340.70,2405.05,2366.873724884080370942,6470,941,15313673.00,1941,30.00,74.05,43.50
28-June-2022,2364.20,2384.75,2347.20,2379.30,2368.008400078140261769,5119,1150,12121835.00,2318,45.28,37.55,15.10
27-June-2022,2344.00,2399.20,2343.00,2373.35,2374.566375643608685918,4467,864,10607188.00,1923,43.05,56.20,29.35
24-June-2022,2349.50,2378.70,2336.25,2344.15,2354.043190832966064345,4538,676,10682648.00,1712,37.73,42.45,-5.35
23-June-2022,2290.45,2343.45,2279.00,2338.35,2314.771356783919597989,2786,527,6448953.00,674,24.19,64.45,47.90
22-June-2022,2378.15,2378.15,2253.45,2272.00,2309.549924881543973188,34612,2733,79938142.00,11079,32.01,124.70,-106.15
21-June-2022,2282.10,2354.15,2282.10,2343.90,2336.579500181093806591,5522,736,12902592.00,2431,44.02,72.05,61.80
20-June-2022,2325.00,2341.75,2270.00,2281.90,2293.499111549851924975,5065,1370,11616573.00,1620,31.98,71.75,-43.10
17-June-2022,2336.65,2375.05,2301.00,2326.00,2344.397266125587355830,7023,1791,16464702.00,1102,15.69,74.05,-10.65
16-June-2022,2401.30,2419.85,2333.40,2341.35,2376.512538495380554333,4546,1011,10803626.00,935,20.57,86.45,-59.95
15-June-2022,2440.00,2440.00,2371.35,2380.45,2387.548278190411883862,2962,664,7071918.00,912,30.79,68.65,-59.55
14-June-2022,2387.95,2406.55,2317.35,2395.45,2373.192748826110384112,12991,2373,30830147.00,7100,54.65,89.20,7.50
