Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,411.30,414.55,402.15,412.70,407.036352057062794548,549570,12072,223694968.00,73601,13.39,12.40,1.40
30-June-2022,418.90,424.00,410.25,411.70,417.728000403565453858,852402,20243,356072183.00,232729,27.30,13.75,-7.20
29-June-2022,412.20,420.00,411.95,417.00,417.104274402488892588,384428,9294,160346562.00,53905,14.02,8.05,4.80
28-June-2022,412.00,418.00,409.10,417.05,414.941733328086615810,711556,16221,295254280.00,261868,36.80,8.90,5.05
27-June-2022,416.00,419.15,412.35,414.55,415.937609317376589953,579734,10615,241133174.00,269552,46.50,6.80,-1.45
24-June-2022,410.00,412.80,406.15,409.20,409.601604460739184041,922179,18596,377725998.00,264348,28.67,6.65,-0.80
23-June-2022,395.10,409.70,394.75,407.20,403.780272489050961133,1091420,15517,440693865.00,234688,21.50,14.95,12.10
22-June-2022,397.30,397.30,390.55,393.00,393.812565321622736421,967329,18925,380946315.00,243328,25.15,6.75,-4.30
21-June-2022,389.00,399.00,386.85,397.60,394.968541695367887837,1509808,26880,596326664.00,648041,42.92,12.15,8.60
20-June-2022,390.10,392.95,376.70,382.75,382.647097641866274602,1356242,39641,518962065.00,431975,31.85,16.25,-7.35
17-June-2022,388.50,394.35,382.55,389.15,388.410640791034188671,1972203,48462,766024631.00,645894,32.75,11.80,0.65
16-June-2022,420.00,420.95,390.20,393.00,402.519060749273450357,833047,17447,335317296.00,238129,28.59,30.75,-27.00
15-June-2022,409.95,416.30,409.05,413.85,413.194036562441414463,789444,10793,326193553.00,292795,37.09,7.25,3.90
14-June-2022,403.55,411.90,397.65,405.05,405.356831830061295765,1399281,30485,567208113.00,461586,32.99,14.25,1.50
13-June-2022,416.55,418.30,405.70,406.70,410.151064988742441893,1389733,45349,570000470.00,643901,46.33,12.60,-9.85
10-June-2022,422.35,428.80,422.00,428.20,426.153901070604296041,733978,14594,312787588.00,273998,37.33,6.80,5.85
9-June-2022,432.60,435.75,426.30,428.55,430.171816650555444658,445859,8473,191795976.00,97738,21.92,9.45,-4.05
8-June-2022,438.25,440.30,431.90,435.60,435.678708943332570104,856012,18409,372946203.00,293627,34.30,8.40,-2.65
7-June-2022,432.35,438.00,429.00,435.95,432.499258182844696368,623469,15401,269649880.00,220856,35.42,9.00,3.60
6-June-2022,428.30,433.80,424.50,432.35,428.507146019777005541,745310,19694,319370661.00,227209,30.49,9.30,4.05
3-June-2022,444.10,445.00,430.50,431.90,436.027431208537640611,433375,9526,188963388.00,122022,28.16,14.50,-12.20
2-June-2022,445.35,445.50,435.65,439.00,439.762718119104823211,769591,19377,338437430.00,291290,37.85,9.85,-6.35
1-June-2022,444.20,446.00,439.60,444.70,442.727885395385170051,1065088,22509,471544158.00,446617,41.93,6.40,0.50
31-May-2022,443.95,449.50,440.45,443.85,446.405940812720848056,724480,13708,323412176.00,159602,22.03,9.05,-0.10
30-May-2022,436.35,445.00,436.35,442.30,441.426351743487770709,1810939,35888,799396196.00,1005685,55.53,8.65,5.95
27-May-2022,424.00,433.00,424.00,429.60,429.020416309121485608,1738708,32826,745941230.00,917398,52.76,9.00,5.60
26-May-2022,421.40,422.55,404.95,420.70,414.197180660827602516,1167082,24443,483402074.00,327447,28.06,17.60,-0.70
25-May-2022,428.80,428.95,413.60,417.05,419.930061761599440886,509378,8254,213903135.00,106642,20.94,15.35,-11.75
24-May-2022,422.30,427.50,416.00,425.60,422.000138837344041608,1123617,22290,474166530.00,372537,33.16,11.50,3.30
23-May-2022,421.10,431.10,419.70,421.60,424.704791845948271761,693741,11490,294635127.00,124833,17.99,11.40,0.50
20-May-2022,410.00,421.35,409.20,417.95,417.536252598444607205,1687548,32120,704612468.00,695716,41.23,12.15,7.95
19-May-2022,400.00,407.00,396.40,398.75,401.875862689715673696,788812,14749,317004503.00,254764,32.30,10.60,-1.25
18-May-2022,426.40,427.45,414.05,415.10,420.577497415190392795,736031,13307,309558076.00,144671,19.66,13.40,-11.30
17-May-2022,409.70,425.80,404.95,424.10,416.628568227113304265,919224,15787,382974979.00,175434,19.08,20.85,14.40
16-May-2022,411.00,411.85,396.20,405.30,403.616721616366556767,1656060,30907,668413508.00,300439,18.14,15.65,-5.70
13-May-2022,386.30,415.75,386.30,404.35,405.148937653001662727,2941553,35815,1191767073.00,309879,10.53,29.45,18.05
12-May-2022,383.95,384.35,366.05,372.10,373.254042813924710953,1251789,26235,467235305.00,323732,25.86,18.30,-11.85
11-May-2022,396.00,397.00,377.65,387.90,386.326286884312577265,983616,23679,379996717.00,263014,26.74,19.35,-8.10
10-May-2022,399.95,408.50,390.00,391.70,400.102244636330689438,554611,15208,221901106.00,197824,35.67,18.50,-8.25
9-May-2022,408.50,408.50,394.75,403.85,401.015634458781966583,1600695,54381,641903721.00,525024,32.80,13.75,-4.65
6-May-2022,419.75,420.20,407.00,408.70,411.009334697598510783,1882332,72455,773656023.00,830438,44.12,13.20,-11.05
5-May-2022,429.80,433.90,423.70,426.30,429.578149346622619597,886930,23588,381005748.00,277136,31.25,10.20,-3.50
4-May-2022,437.30,440.55,420.90,423.60,432.359560310182051845,2337466,11929,1010625772.00,1980264,84.72,19.65,-13.70
2-May-2022,438.00,443.00,428.50,432.75,433.619482849791029189,903954,15879,391972066.00,215089,23.79,14.50,-5.25
29-April-2022,440.90,447.60,436.00,437.55,442.388433602177666373,1833155,33214,810966569.00,824969,45.00,11.60,-3.35
28-April-2022,436.00,439.15,430.90,436.20,434.312717661027192176,327631,7918,142294310.00,99690,30.43,8.25,0.20
27-April-2022,429.00,432.85,425.15,430.15,428.934424782366601931,441798,9212,189502371.00,145892,33.02,7.70,1.15
26-April-2022,434.50,437.25,431.55,434.80,434.820831761744351443,845747,19596,367748414.00,347689,41.11,5.70,0.30
25-April-2022,433.70,435.95,423.40,425.25,429.409452548013003281,1040968,36128,447001499.00,378349,36.35,12.55,-8.45
22-April-2022,443.75,447.15,438.00,438.95,442.596174000686797871,448458,8481,198485795.00,118527,26.43,9.15,-4.80
21-April-2022,445.20,449.25,440.90,447.95,444.684529110598722281,491814,9648,218702077.00,145350,29.55,8.35,2.75
20-April-2022,431.25,441.50,428.05,440.50,436.425995137141632160,709048,13079,309446979.00,158663,22.38,13.45,9.25
19-April-2022,438.00,440.30,416.85,424.10,432.936813758966237062,412938,10816,178776062.00,146413,35.46,23.45,-13.90
18-April-2022,430.25,436.45,423.90,433.65,428.803080956231349101,551582,14768,236520061.00,178458,32.35,12.55,3.40
13-April-2022,441.40,443.00,430.25,431.00,434.523738258239133895,628100,13371,272924360.00,240994,38.37,12.75,-10.40
12-April-2022,451.30,451.30,435.00,438.15,439.199807788071313271,1662748,50919,730278602.00,655173,39.40,16.30,-13.15
11-April-2022,457.00,458.95,451.00,452.05,454.917930691727285049,1106650,24801,503434928.00,470683,42.53,7.95,-4.95
8-April-2022,452.50,456.35,449.60,452.10,452.746245946414278523,605945,10619,274339324.00,126220,20.83,6.75,-0.40
7-April-2022,457.80,459.00,448.30,449.45,454.017889906489978134,1557694,37744,707220943.00,621602,39.91,10.70,-8.35
6-April-2022,456.80,462.65,452.40,456.15,458.091366881321932640,1830532,39496,838550906.00,581115,31.75,10.25,-0.65
5-April-2022,449.00,461.90,448.70,458.05,457.663580672716565923,2457231,46806,1124585138.00,1048531,42.67,13.20,9.05
4-April-2022,444.70,449.35,441.35,446.80,445.838434688854522881,1101864,20260,491253321.00,288705,26.20,8.00,2.10
1-April-2022,434.10,442.25,431.00,441.10,437.390049030183342276,542319,9669,237204934.00,175143,32.30,11.25,7.00
31-March-2022,436.00,438.25,432.45,433.50,435.408831947279948955,926251,20959,403297866.00,359285,38.79,5.80,-2.50
30-March-2022,438.70,442.35,434.60,435.65,439.041998390053680944,622381,9891,273251398.00,163929,26.34,7.75,-3.05
29-March-2022,435.30,439.20,431.45,433.55,435.334187720546807816,539568,10062,234892397.00,147171,27.28,7.75,-1.75
28-March-2022,432.00,434.95,426.35,432.65,431.107701590997970331,565117,10316,243626291.00,133960,23.70,8.60,0.65
25-March-2022,436.90,437.70,427.65,432.05,433.226340862251848823,1007803,22076,436606806.00,353289,35.06,10.05,-4.85
24-March-2022,430.90,435.40,427.45,433.20,432.700927677614934014,1096825,13161,474597195.00,412579,37.62,7.95,2.30
