Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,3262.00,3332.45,3252.00,3316.15,3282.576337436555626859,34282,5116,112533282.00,11668,34.04,80.45,54.15
30-June-2022,3270.00,3310.95,3254.00,3265.25,3279.193623992538205821,41813,6177,137112923.00,14434,34.52,56.95,-4.75
29-June-2022,3270.00,3332.90,3270.00,3291.05,3316.611372102838896739,108986,9934,361464207.00,64932,59.58,62.90,21.05
28-June-2022,3312.65,3326.25,3274.00,3318.95,3300.400187587931843051,31985,3927,105563300.00,11924,37.28,52.25,6.30
27-June-2022,3338.00,3361.70,3306.40,3312.65,3332.540174351433672933,38084,5133,126916460.00,14834,38.95,55.30,-25.35
24-June-2022,3344.00,3344.00,3278.00,3292.95,3304.815596296089281389,107346,13426,354758735.00,58312,54.32,66.00,-51.05
23-June-2022,3222.00,3317.00,3222.00,3309.00,3280.216935754903410542,371935,11286,1220027486.00,315010,84.69,95.00,87.00
22-June-2022,3201.00,3249.00,3184.15,3222.00,3220.741509194405061683,94514,10570,304405163.00,43280,45.79,64.85,21.00
21-June-2022,3128.00,3237.30,3125.00,3212.00,3198.838989156164332294,106881,16902,341895110.00,55183,51.63,112.30,84.00
20-June-2022,3094.50,3138.60,3069.70,3113.20,3105.700543155393363320,94264,13486,292755756.00,39403,41.80,68.90,18.70
17-June-2022,3099.65,3110.55,3023.35,3089.25,3066.863894851533173820,276257,37278,847242619.00,178375,64.57,87.20,-10.40
16-June-2022,3237.40,3241.65,3134.00,3142.35,3186.375685244403837368,175120,22114,557998110.00,125101,71.44,107.65,-95.05
15-June-2022,3214.95,3234.00,3201.10,3206.80,3219.004681046351537402,87160,9718,280568448.00,60810,69.77,32.90,-8.15
14-June-2022,3198.00,3238.90,3178.90,3211.25,3225.028170854868413235,168330,17045,542868992.00,117489,69.80,60.00,13.25
13-June-2022,3291.00,3293.00,3194.00,3220.15,3236.710242436077233968,168993,29661,546981374.00,121282,71.77,99.00,-70.85
10-June-2022,3388.00,3390.15,3352.10,3365.35,3371.338977528956866914,116639,11799,393229607.00,92420,79.24,38.05,-22.65
9-June-2022,3373.00,3436.40,3354.15,3426.55,3406.312883834986219917,46081,4072,156966304.00,22349,48.50,82.25,53.55
8-June-2022,3372.00,3413.45,3347.00,3403.05,3384.014080427198649891,79401,5491,268694102.00,31714,39.94,66.45,31.05
7-June-2022,3420.00,3420.00,3356.20,3362.00,3372.067573713332828014,26386,3519,88975375.00,11240,42.60,63.80,-58.00
6-June-2022,3421.00,3453.10,3378.00,3430.25,3415.928733453929422574,34827,4158,118966550.00,13869,39.82,75.10,9.25
3-June-2022,3454.70,3477.50,3431.55,3438.80,3464.517426395707619583,65791,5340,227934066.00,39980,60.77,45.95,-15.90
2-June-2022,3357.00,3432.25,3350.05,3422.95,3408.621799519212424161,104828,10892,357319006.00,38931,37.14,82.20,65.95
1-June-2022,3385.00,3388.00,3342.50,3356.50,3363.059056476658395911,121714,10597,409331370.00,88970,73.10,45.50,-28.50
31-May-2022,3355.00,3382.95,3324.10,3364.80,3357.736803640375068946,72520,10074,243503073.00,27940,38.53,58.85,9.80
30-May-2022,3273.85,3385.80,3273.85,3375.55,3353.889813049104406456,117464,16259,393961313.00,70410,59.94,111.95,101.70
27-May-2022,3249.00,3278.85,3230.00,3262.20,3259.583536898285948886,146145,15037,476371836.00,98996,67.74,48.85,13.20
26-May-2022,3190.00,3242.00,3181.00,3228.60,3195.191863257778301416,110339,12241,352554275.00,73841,66.92,61.00,38.60
25-May-2022,3286.00,3286.55,3155.00,3166.60,3195.763083036843937605,235534,32652,752710862.00,151754,64.43,131.55,-119.40
24-May-2022,3311.00,3320.95,3276.50,3288.05,3298.955747783139584297,105893,8811,349336321.00,84837,80.12,44.45,-22.95
23-May-2022,3315.00,3338.00,3267.05,3320.95,3311.595422619115160730,88129,11795,291847593.00,45486,51.61,70.95,5.95
20-May-2022,3309.00,3314.00,3271.15,3293.90,3293.941845654436543346,137393,15254,452564552.00,74355,54.12,42.85,-15.10
19-May-2022,3376.00,3402.60,3231.05,3270.70,3291.016558038014975596,494805,51132,1628411448.00,380021,76.80,171.55,-105.30
18-May-2022,3460.00,3495.00,3443.05,3449.00,3470.330111988126560075,59292,7557,205762813.00,21723,36.64,51.95,-11.00
17-May-2022,3369.95,3466.40,3351.25,3452.20,3408.158186986901883684,37639,5024,128279666.00,12762,33.91,115.15,82.25
16-May-2022,3414.00,3429.50,3366.85,3376.65,3401.364951217231383061,32081,4430,109119189.00,16603,51.75,62.65,-37.35
13-May-2022,3441.00,3441.30,3383.15,3413.45,3412.640442105263157894,142500,15438,486301263.00,85454,59.97,58.15,-27.55
12-May-2022,3400.00,3448.40,3350.10,3411.00,3417.215793836088807901,158049,19401,540087539.00,74429,47.09,98.30,11.00
11-May-2022,3434.00,3447.50,3382.00,3412.90,3412.373013605953544313,66515,6646,226973991.00,35543,53.44,65.50,-21.10
10-May-2022,3440.00,3464.90,3425.00,3437.25,3451.218422602768544620,95068,12058,328100433.00,57748,60.74,39.90,-2.75
9-May-2022,3393.00,3455.50,3348.75,3446.10,3410.613968093242704641,185666,26085,633235053.00,107018,57.64,106.75,53.10
6-May-2022,3468.45,3474.70,3425.05,3433.00,3447.556829752287236809,134551,16876,463872219.00,96761,71.91,49.65,-35.45
5-May-2022,3506.05,3532.95,3486.60,3513.30,3510.285590898662600035,74099,10551,260108652.00,41129,55.51,46.35,7.25
4-May-2022,3540.00,3545.20,3465.55,3482.45,3540.569574107898186389,1062687,9219,3762517259.00,1035495,97.44,79.65,-57.55
2-May-2022,3513.00,3548.40,3494.00,3542.05,3520.200689475863530000,103847,14590,365562281.00,61735,59.45,54.40,29.05
29-April-2022,3597.00,3621.95,3537.40,3550.10,3589.118406048063521561,47354,5569,169959113.00,25364,53.56,84.55,-46.90
