Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,999.70,1013.85,989.50,1010.60,1002.117084748715268704,45924,2511,46021225.00,11525,25.10,24.35,10.90
30-June-2022,1017.00,1025.75,997.00,999.70,1009.171710901755053412,99883,4660,100799098.00,35052,35.09,28.75,-17.30
29-June-2022,1004.00,1027.20,1003.85,1021.00,1016.478002409961172847,112035,5253,113881113.00,25223,22.51,23.35,17.00
28-June-2022,1003.00,1028.00,984.30,1021.20,1001.905234481416618019,66807,3099,66934283.00,20921,31.32,43.70,18.20
27-June-2022,998.00,1024.40,997.00,1007.15,1013.447751055469092597,116299,4752,117862960.00,35581,30.59,27.40,9.15
24-June-2022,1000.00,1000.00,974.25,980.95,983.407803497580462331,127917,8272,125794576.00,56530,44.19,25.75,-19.05
23-June-2022,978.25,998.65,971.40,991.15,989.031923395800811156,133883,6520,132414561.00,43063,32.16,27.25,12.90
22-June-2022,997.00,997.00,967.80,980.30,981.140164170349508691,274471,22052,269294522.00,148749,54.19,29.20,-16.70
21-June-2022,994.95,1004.20,980.45,1000.10,993.484517439032128429,94558,4974,93941909.00,30299,32.04,23.75,5.15
20-June-2022,965.05,988.65,948.20,979.20,965.902618725507008885,157443,11639,152074606.00,46986,29.84,40.45,14.15
17-June-2022,972.00,973.90,944.10,965.05,959.033019273933511219,302066,18871,289691268.00,135692,44.92,29.80,-6.95
16-June-2022,1026.30,1033.50,971.15,975.50,996.104785632800070203,262097,20394,261076076.00,102317,39.04,62.35,-50.80
15-June-2022,1034.30,1037.85,1018.00,1020.05,1025.366257815918361585,141698,7381,145292348.00,81654,57.63,19.85,-14.25
14-June-2022,1036.45,1056.25,1020.50,1030.45,1037.325832164110503652,165352,11956,171523901.00,60154,36.38,35.75,-6.00
13-June-2022,1086.00,1086.00,1050.05,1052.35,1064.054053671716957376,141378,13367,150433834.00,75067,53.10,35.95,-33.65
10-June-2022,1121.70,1121.85,1100.70,1110.25,1110.466531745959231408,218894,8579,243074461.00,44695,20.42,21.15,-11.45
9-June-2022,1120.00,1141.80,1111.75,1138.80,1126.820434769240229991,32523,2443,36647581.00,7948,24.44,30.05,18.80
8-June-2022,1132.30,1138.85,1119.60,1124.05,1128.386745849642326899,74090,4667,83602174.00,20359,27.48,19.25,-8.25
7-June-2022,1135.00,1139.50,1121.00,1130.50,1130.220892379828870936,133934,7693,151375005.00,37827,28.24,18.50,-4.50
6-June-2022,1146.80,1148.70,1111.50,1145.20,1129.968942934400350114,127958,8300,144588566.00,37859,29.59,37.20,-1.60
3-June-2022,1159.10,1181.95,1143.85,1147.90,1163.456487326182484580,152243,8342,177128106.00,44258,29.07,38.10,-11.20
2-June-2022,1140.00,1154.05,1132.00,1146.15,1144.236929830578228959,72895,4737,83409151.00,24135,33.11,22.05,6.15
1-June-2022,1189.00,1196.65,1143.20,1147.05,1162.429771410401356698,113216,7401,131605649.00,41477,36.64,53.45,-41.95
31-May-2022,1161.50,1191.65,1149.40,1180.85,1173.689123831899334328,94491,4174,110903059.00,25714,27.21,42.25,19.35
30-May-2022,1149.00,1170.00,1137.35,1163.90,1158.085679636351300926,117916,7225,136556831.00,44242,37.52,32.65,14.90
27-May-2022,1094.95,1126.00,1092.00,1123.55,1114.495492210568460488,139869,7768,155883370.00,49291,35.24,34.00,28.60
26-May-2022,1065.00,1089.55,1056.05,1079.25,1070.939094618816978757,78663,4224,84243282.00,17151,21.80,33.50,14.25
25-May-2022,1094.00,1094.00,1045.10,1059.25,1064.434787031668039999,98301,6354,104635004.00,32342,32.90,48.90,-34.75
24-May-2022,1145.00,1151.45,1091.30,1098.05,1117.883812700194828781,60566,4445,67705751.00,23454,38.72,60.15,-46.95
23-May-2022,1132.10,1147.90,1116.05,1142.80,1135.474531403948196246,84241,6031,95653510.00,31748,37.69,31.85,10.70
20-May-2022,1147.75,1147.75,1114.20,1131.60,1126.964360185946855929,52273,3049,58909808.00,15038,28.77,33.55,-16.15
19-May-2022,1154.40,1154.40,1100.10,1108.10,1116.850140568981971060,193855,18238,216506984.00,88627,45.72,54.30,-46.30
18-May-2022,1210.00,1230.65,1169.50,1172.45,1197.715493311167918698,127526,6589,152739866.00,31453,24.66,61.15,-37.55
17-May-2022,1197.00,1209.55,1183.20,1198.15,1192.475872826713559757,206427,3390,246159217.00,158402,76.74,26.35,1.15
16-May-2022,1197.00,1220.95,1156.40,1187.60,1192.656179315012378221,112294,6967,133928133.00,23721,21.12,64.55,-9.40
13-May-2022,1230.55,1234.85,1195.15,1202.30,1217.097418869042475713,81011,6533,98598279.00,20374,25.15,39.70,-28.25
12-May-2022,1210.00,1232.70,1197.50,1213.55,1217.137680216673960095,84551,5942,102910208.00,21208,25.08,35.20,3.55
11-May-2022,1240.10,1265.45,1208.05,1224.20,1233.717693717513445302,99849,6374,123185478.00,24043,24.08,57.40,-15.90
10-May-2022,1256.00,1270.80,1237.00,1242.45,1256.806649204314585792,197377,13534,248064726.00,124200,62.93,33.80,-13.55
9-May-2022,1278.00,1278.00,1210.30,1261.45,1247.160415245150599473,205180,12440,255892374.00,44946,21.91,67.70,-16.55
6-May-2022,1232.35,1297.00,1228.90,1291.50,1255.156243771177994817,481632,15855,604523412.00,93228,19.36,68.10,59.15
5-May-2022,1225.00,1265.50,1222.75,1263.55,1253.845451169699220200,134650,9458,168830290.00,44287,32.89,42.75,38.55
4-May-2022,1241.10,1243.50,1200.05,1214.10,1229.776292200225666694,812703,10372,999442882.00,743216,91.45,43.45,-27.00
2-May-2022,1245.00,1248.90,1224.20,1231.30,1233.744592188506269651,52794,3845,65134312.00,18765,35.54,24.70,-13.70
29-April-2022,1289.00,1289.00,1248.20,1256.55,1263.301104216097828070,65748,4821,83059521.00,35213,53.56,40.80,-32.45
28-April-2022,1270.00,1284.00,1250.25,1269.40,1267.452493063967801180,102364,6897,129741507.00,40120,39.19,33.75,-0.60
27-April-2022,1270.00,1274.15,1247.00,1261.50,1257.628821382567625590,93160,4278,117160701.00,69349,74.44,27.15,-8.50
26-April-2022,1278.00,1288.00,1265.50,1275.20,1274.217197195957970319,129242,8147,164682379.00,63000,48.75,22.50,-2.80
25-April-2022,1295.00,1298.00,1262.60,1270.95,1272.609679128926575448,124536,12541,158485719.00,60841,48.85,35.40,-24.05
22-April-2022,1313.10,1323.90,1292.65,1307.05,1309.696820498857981273,132222,7971,173170733.00,72142,54.56,31.25,-6.05
21-April-2022,1320.00,1320.00,1297.95,1313.60,1309.779333452238387647,78494,7644,102809819.00,38893,49.55,22.05,-6.40
20-April-2022,1308.70,1320.95,1292.55,1309.70,1310.319249994667197576,140639,11554,184281989.00,82642,58.76,28.40,1.00
19-April-2022,1363.90,1363.90,1287.00,1301.60,1333.137026135045937026,112110,6408,149457992.00,77577,69.20,76.90,-62.30
18-April-2022,1393.00,1393.00,1320.00,1344.25,1342.358942463373218023,151938,9742,203955333.00,67612,44.50,73.00,-48.75
13-April-2022,1415.20,1428.60,1404.00,1410.40,1417.150196215565139682,128685,8885,182365973.00,86913,67.54,24.60,-4.80
12-April-2022,1443.45,1443.45,1407.05,1415.95,1425.178082323062916287,104345,9217,148710207.00,69721,66.82,36.40,-27.50
11-April-2022,1449.75,1462.55,1436.00,1448.70,1445.429866146123814835,121924,8369,176232591.00,53391,43.79,26.55,-1.05
8-April-2022,1478.70,1482.40,1440.00,1449.75,1453.558854964217631800,159995,10506,232562149.00,100245,62.66,42.40,-28.95
7-April-2022,1454.00,1474.00,1450.90,1468.95,1462.382417514930987364,130266,7282,190498708.00,66915,51.37,23.10,14.95
6-April-2022,1488.00,1488.00,1454.15,1459.50,1462.884370094885246828,70717,5223,103450794.00,33647,47.58,33.85,-28.50
5-April-2022,1511.00,1522.60,1480.55,1488.90,1503.566095515858549033,109720,9009,164971272.00,48962,44.62,42.05,-22.10
4-April-2022,1487.35,1504.15,1484.60,1498.65,1498.350981518397134844,118388,6333,177386776.00,59200,50.00,19.55,11.30
1-April-2022,1504.80,1504.80,1476.20,1487.35,1490.199857514491423883,92641,4849,138053605.00,48165,51.99,28.60,-17.45
31-March-2022,1496.15,1509.70,1487.90,1499.30,1501.515735694822888283,58720,2809,88169004.00,17593,29.96,21.80,3.15
30-March-2022,1537.00,1537.00,1484.55,1496.15,1493.771845972616495761,103566,7747,154703975.00,38240,36.92,52.45,-40.85
29-March-2022,1527.00,1537.55,1519.20,1521.80,1523.874018787800797838,54397,2577,82894175.00,28101,51.66,18.35,-5.20
